# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   782.4996520044   62.8985225997   888.6782194857   57.2118669493   835.5889357451   60.1224661214   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   1521.5968587243   124.2044394890   1732.5796493719   112.0730785177   1627.0882540481   118.2943737403   1.9443181003   0.0032262902   1.9495707688   0.0011611767   1.9469444346   0.0024245907
2.0000000000   2182.7145308979   183.9550705023   2494.4140908995   163.8107939626   2338.5643108987   174.1744013656   2.7884502636   0.0134621877   2.8066265681   0.0047933544   2.7975384158   0.0101046213
3.0000000000   2778.6930305491   243.5811735519   3185.9164744582   214.1805677021   2982.3047525037   229.3524620428   3.5487607293   0.0306208180   3.5842985736   0.0116344441   3.5665296514   0.0231624133
4.0000000000   3333.2513729737   303.7276460252   3831.8484034634   264.5533972032   3582.5498882185   284.8148371589   4.2556989712   0.0527446236   4.3104693141   0.0217627091   4.2830841426   0.0403460706
5.0000000000   3863.6892604825   364.2961318453   4451.0975693363   315.4675651228   4157.3934149094   340.7575797557   4.9315390872   0.0778719379   5.0064444070   0.0347333307   4.9689917471   0.0602927980
6.0000000000   4379.1817683003   425.1802276999   5053.5160986128   366.8279392639   4716.3489334565   397.0774251022   5.5881034330   0.1050329073   5.6833640168   0.0497125433   5.6357337249   0.0821682681
7.0000000000   4883.8098431601   486.4746441817   5643.5061965717   418.3088956681   5263.6580198659   453.6738429901   6.2306363545   0.1340797653   6.3462266473   0.0659944482   6.2884315009   0.1056708348
8.0000000000   5378.4563517765   548.1696776414   6222.6752978671   469.5179292689   5800.5658248218   510.3611865093   6.8602773264   0.1649507700   6.9968791252   0.0831297587   6.9285782258   0.1306126206
9.0000000000   5862.6299649114   609.9805717337   6791.2733674745   519.9105286799   6326.9516661929   566.7377064061   7.4764280076   0.1972846878   7.6356483478   0.1005229782   7.5560381777   0.1565664670
10.0000000000   6335.9534928884   671.6288816041   7348.9472818999   569.1667512470   6842.4503873941   622.5094960440   8.0786342437   0.2307136486   8.2621617997   0.1176317617   8.1703980217   0.1831202051
11.0000000000   6797.9940328173   732.9871400632   7895.1846153114   617.4127560333   7346.5893240643   677.6683033796   8.6663515587   0.2650641118   8.8758308748   0.1344332764   8.7710912167   0.2101562385
12.0000000000   7248.1583985482   794.1473185653   8429.2691045858   664.8141933583   7838.7137515670   732.3414078403   9.2388046076   0.3004518890   9.4758331287   0.1511412669   9.3573188682   0.2378182291
13.0000000000   7686.2557155799   855.2201513083   8950.4579699073   711.1666887004   8318.3568427436   786.4984317597   9.7957351740   0.3369964770   10.0613436594   0.1676506475   9.9285394167   0.2661516157
14.0000000000   8112.0182428957   915.7979027356   9458.4238071286   756.2532720311   8785.2210250122   839.8228414710   10.3368446023   0.3741554692   10.6320076808   0.1839052281   10.4844261415   0.2947994641
15.0000000000   8525.4736541621   975.4538064837   9953.4254249972   800.0124040476   9239.4495395797   892.0566056068   10.8622160127   0.4113723544   11.1881224630   0.1999692513   11.0251692379   0.3234307619
16.0000000000   8927.0057765756   1034.0349284440   10435.9373851368   842.6020508149   9681.4715808562   943.1877992424   11.3723606014   0.4484561531   11.7302126414   0.2160393153   11.5512866214   0.3519843086
17.0000000000   9316.8731274627   1091.7620603739   10906.5017434472   884.2858510654   10111.6874354550   993.4550475151   11.8675871246   0.4856945030   12.2588725199   0.2323957901   12.0632298222   0.3807275624
