# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   3496.1645689481   132.7314313185   3433.3437419684   118.9089999931   3464.7541554583   126.0098867931   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   6944.1102642812   265.3266731078   6815.2212596614   238.6033191923   6879.6657619713   252.3190315771   1.9861897610   0.0007326305   1.9849838191   0.0008090948   1.9855867900   0.0007718102
2.0000000000   10294.7209938630   397.7676593335   10092.0557854785   359.2398148651   10193.3883896707   378.9936380706   2.9445012979   0.0027928242   2.9393263310   0.0029686480   2.9419138144   0.0028820772
3.0000000000   13545.2408649352   530.0057935584   13260.4947987600   479.7596079218   13402.8678318476   505.5073800642   3.8741462694   0.0060180447   3.8620606861   0.0061479316   3.8681034778   0.0060833348
4.0000000000   16708.1967005752   661.7123003366   16334.7168331222   599.5198821997   16521.4567668487   631.3823158632   4.7787165082   0.0100918821   4.7573280147   0.0100587303   4.7680222615   0.0100753198
5.0000000000   19793.4690886977   792.9465050118   19327.1394190788   718.7269682259   19560.3042538883   756.7471885200   5.6610419693   0.0150229646   5.6287473090   0.0147012837   5.6448946392   0.0148629945
6.0000000000   22804.1412014108   924.1923391586   22243.3389191995   837.7417311619   22523.7400603051   882.0268385626   6.5220018630   0.0211162034   6.4779411271   0.0201948928   6.4999714951   0.0206606842
7.0000000000   25739.6070702156   1055.8882557133   25084.4189845820   956.9372994857   25412.0130273988   1007.6281565390   7.3614200392   0.0287342798   7.3052278202   0.0267177187   7.3333239297   0.0277443267
8.0000000000   28598.3252255604   1188.3487808646   27850.1852377163   1076.8070725311   28224.2552316383   1133.9502406269   8.1788539259   0.0381537428   8.1105463007   0.0345094769   8.1447001133   0.0363772737
9.0000000000   31379.0310883756   1321.8760843835   30540.6239150179   1197.6823107704   30959.8275016968   1261.3087052734   8.9739409857   0.0496365550   8.8938900529   0.0437351642   8.9339155193   0.0467790133
10.0000000000   34081.1170579494   1456.9766877561   33156.1463404147   1319.5389671592   33618.6316991820   1389.9575811003   9.7465054142   0.0634411946   9.6553802337   0.0544211284   9.7009428239   0.0591034872
11.0000000000   36704.7839490035   1594.0661145125   35696.9632904667   1442.5466873414   36200.8736197351   1520.1953365598   10.4966043810   0.0797204715   10.3950776329   0.0666353460   10.4458410069   0.0734697996
12.0000000000   39250.8553706913   1733.4202859876   38163.5233638600   1566.9112612654   38707.1893672757   1652.2646259836   11.2244742700   0.0984751364   11.1131120862   0.0804458214   11.1687931781   0.0899135214
13.0000000000   41720.7537173970   1875.0499019238   40557.0366590277   1692.9366088181   41138.8951882124   1786.3155510968   11.9305261148   0.1196693821   11.8098344178   0.0959117703   11.8701802663   0.1084431388
14.0000000000   44116.5875907312   2018.6584088802   42879.1788270094   1820.8737526323   43497.8832088703   1922.3114985308   12.6153714710   0.1432384841   12.4857315370   0.1130412987   12.5505515040   0.1290263511
15.0000000000   46440.7244794146   2164.3134972136   45131.7627435024   1950.5063352827   45786.2436114585   2060.1854137673   13.2796918560   0.1691495604   13.1413350902   0.1317225877   13.2105134731   0.1515955374
16.0000000000   48695.3135027668   2312.2436048652   47317.1652020812   2081.2933997254   48006.2393524240   2199.8014346732   13.9241037016   0.1973583059   13.7773444505   0.1517631919   13.8507240760   0.1760431301
17.0000000000   50882.6708321164   2462.3352812910   49438.2812301472   2212.9014586271   50160.4760311318   2340.9429620438   14.5492746939   0.2277569360   14.3946074370   0.1729711316   14.4719410655   0.2022278842
18.0000000000   53005.3725881972   2614.1043521841   51497.9158238376   2345.6136448458   52251.6442060174   2483.4899773297   15.1559515462   0.2601970436   14.9939388395   0.1952902314   15.0749451928   0.2300443175
19.0000000000   55065.9761827430   2766.7899620174   53498.4681771850   2480.0614322130   54282.2221799640   2627.3400428447   15.7448782561   0.2944597351   15.5760320653   0.2188279810   15.6604551607   0.2594149387
20.0000000000   57066.8004546025   2919.6701087063   55442.0905811705   2617.0958839352   56254.4455178865   2772.5136978366   16.3167273447   0.3302258936   16.1415072269   0.2438298662   16.2291172858   0.2902603525
21.0000000000   59009.2857501560   3072.5878623239   57330.1604285141   2756.8201177579   58169.7230893351   2918.9769897496   16.8719107233   0.3672228898   16.6907658011   0.2703339286   16.7813382622   0.3224384311
