# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   7287.8950386777   244.1115686871   7661.8144209797   835.8888916276   7474.8547298287   615.7518563160   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   14518.2401335666   487.6809809153   15263.2008329094   1671.4656613289   14890.7204832380   1231.1844289439   1.9920985365   0.0002273448   1.9920468983   0.0008137497   1.9920727174   0.0005974421
2.0000000000   21643.3590737815   730.7282153722   22752.4912010952   2506.2219580237   22197.9251374384   1845.9566933736   2.9697482001   0.0009107267   2.9693428087   0.0031037681   2.9695455044   0.0022872253
3.0000000000   28677.3754965380   973.3156198442   30143.7182558383   3340.2235557794   29410.5468761882   2460.1256775230   3.9348884225   0.0019422204   3.9337340747   0.0066793666   3.9343112486   0.0049186461
4.0000000000   35649.1690561501   1214.9881363369   37467.7963698183   4173.8259776404   36558.4827129842   3073.8428280464   4.8914868227   0.0030937436   4.8892870360   0.0111550812   4.8903869293   0.0081855692
5.0000000000   42579.3680721158   1455.3581161900   44747.4186123730   5007.4994451446   43663.3933422444   3687.3512132345   5.8423775978   0.0042294903   5.8389846075   0.0162777539   5.8406811026   0.0118923055
6.0000000000   49477.1745665155   1694.3925292071   51993.6591770863   5841.7855516699   50735.4168718009   4301.0129315506   6.7888245731   0.0053030529   6.7842794296   0.0219636995   6.7865520013   0.0159769594
7.0000000000   56345.3812181225   1932.2233467608   59210.2733902216   6677.1948508665   57777.8273041720   4915.2018340148   7.7312108501   0.0063052596   7.7256608939   0.0282235274   7.7284358720   0.0204490073
8.0000000000   63184.0001732809   2168.6661390001   66397.8616062271   7514.0154842515   64790.9308897540   5530.0787300009   8.6695387518   0.0072337168   8.6632054051   0.0350794837   8.6663720785   0.0253268320
9.0000000000   69992.0338335970   2403.6432962624   73555.3440610203   8352.3040008042   71773.6889473087   6145.6685241525   9.6036715580   0.0081153645   9.5967706418   0.0425454701   9.6002210999   0.0306265911
10.0000000000   76767.7057017900   2636.4403433162   80680.3428868152   9191.2670850434   78724.0242943026   6761.2945621555   10.5333677695   0.0088915066   10.5260523008   0.0505452672   10.5297100351   0.0362896881
11.0000000000   83507.9530551022   2866.6512849468   87769.5455130062   10030.4049512571   85638.7492840542   7376.5409602229   11.4582082236   0.0095568486   11.4506194113   0.0590628237   11.4544138174   0.0423069173
12.0000000000   90208.9936342166   3094.5968466871   94819.1456711208   10869.7376670380   92514.0696526687   7991.4869265285   12.3776723870   0.0102090924   12.3699702057   0.0681608269   12.3738212964   0.0487346073
13.0000000000   96866.7256409800   3320.8275380394   101825.1238765492   11708.9059380911   99345.9247587646   8605.9971474683   13.2911949894   0.0109288095   13.2835795468   0.0778459632   13.2873872681   0.0555852178
14.0000000000   103476.7425098373   3545.5853302423   108784.1540524348   12547.3379063467   106130.4482811361   9219.7305782239   14.1981700210   0.0117424798   14.1910163558   0.0880826740   14.1945931884   0.0628348760
15.0000000000   110035.5733893493   3769.0106875494   115693.5582537270   13384.7906703665   112864.5658215382   9832.5495893078   15.0981204486   0.0127203526   15.0919308591   0.0988786172   15.0950256538   0.0704939299
16.0000000000   116541.3747439280   3990.8572287729   122551.3275992097   14221.5223594981   119546.3511715689   10444.5832765638   15.9907940031   0.0138718932   15.9860552432   0.1103058646   15.9884246231   0.0786123819
17.0000000000   122993.5927691870   4211.0346210398   129356.1854863104   15057.7772891394   126174.8891277487   11055.9818530269   16.8761149264   0.0151809444   16.8732178925   0.1224234900   16.8746664095   0.0872295019
18.0000000000   129392.5049031931   4429.9867530321   136107.5394936166   15893.9232828237   132750.0221984048   11667.0814677949   17.7541197046   0.0166297350   17.7533369308   0.1352860191   17.7537283177   0.0963816763
19.0000000000   135738.6030088885   4648.1682214967   142805.4463666633   16730.7555391271   139272.0246877759   12278.5106736396   18.6248742097   0.0181718636   18.6264118209   0.1489923065   18.6256430153   0.1061341699
20.0000000000   142032.1882182528   4865.8331736141   149449.9879709723   17568.5859406403   145741.0880946126   12890.5303309659   19.4884189642   0.0198421467   19.4924500681   0.1635815546   19.4904345161   0.1165174574
21.0000000000   148273.0404617961   5082.5824225428   156041.3633333859   18407.2306521367   152157.2018975910   13502.9401310030   20.3447253158   0.0217200356   20.3514797793   0.1790274027   20.3481025475   0.1275197453
22.0000000000   154460.4214606904   5297.4625668127   162579.4594916274   19246.4559056616   158519.9404761589   14115.4024840838   21.1936953106   0.0238097801   21.2034888619   0.1953000357   21.1985920863   0.1391204686
