# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   791.0670020983   45.8408616730   885.1696092061   33.5415785817   838.1183056522   40.1647985970   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   1539.6364937980   91.5295344132   1725.4960778127   65.7343782619   1632.5662858053   79.6826962250   1.9460590253   0.0039782429   1.9493207405   0.0022387598   1.9476898829   0.0032278833
2.0000000000   2210.5879889655   137.2789669504   2482.5775512725   95.9967238354   2346.5827701190   118.4501704391   2.7935773323   0.0145566444   2.8045376709   0.0075039465   2.7990575016   0.0115802658
3.0000000000   2815.4026142073   183.3048440089   3166.9885231868   125.3445150285   2991.1955686970   157.0221533492   3.5571135998   0.0302073796   3.5775632433   0.0141842846   3.5673384215   0.0235974545
4.0000000000   3377.8114195859   229.4275598479   3803.3747224967   154.6681633794   3590.5930710413   195.6517901540   4.2668068637   0.0486906231   4.2962356857   0.0214511707   4.2815212747   0.0376226627
5.0000000000   3915.9325439017   275.3361497951   4411.6266906832   184.3674669945   4163.7796172925   234.3089395114   4.9456845906   0.0684579680   4.9830430838   0.0295092658   4.9643638372   0.0527128549
6.0000000000   4439.1218333530   320.6544152136   5002.6528957198   214.6658510824   4720.8873645364   272.8558975145   5.6056603559   0.0885501762   5.6503215847   0.0388352310   5.6279909703   0.0683714446
7.0000000000   4951.3817785636   365.4818558132   5580.8623655761   245.3877064154   5266.1220720698   311.2813143994   6.2518087341   0.1089749278   6.3030739086   0.0495028400   6.2774413214   0.0846347035
8.0000000000   5454.0918746714   410.0542260474   6147.4342457834   276.2422519559   5800.7630602274   349.6099612890   6.8858611662   0.1300247380   6.9426534068   0.0613521999   6.9142572865   0.1016624929
9.0000000000   5947.1184707234   454.3401168555   6702.4448051485   307.2829018927   6324.7816379360   387.8451518196   7.5076516445   0.1516551006   7.5691456157   0.0744489429   7.5383986301   0.1194611121
10.0000000000   6429.9016336437   498.1316273374   7246.2106923384   338.9537907041   6838.0561629910   426.0427152214   8.1164877032   0.1735005048   8.1828846847   0.0890577340   8.1496861939   0.1379016047
11.0000000000   6901.8518323611   541.1704750378   7778.9182391531   371.5648258789   7340.3850357571   464.1798697074   8.7116447609   0.1952184652   8.7840618898   0.1051886976   8.7478533253   0.1568038763
