# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   3297.3596881901   194.9771434639   3479.2281140244   142.5655022275   3388.2939011072   170.7937482736   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   6549.7966290752   388.3399438218   6909.8552736615   284.2807267842   6729.8259513684   340.3112131479   1.9863568105   0.0005212273   1.9860186750   0.0007789811   1.9861877428   0.0006627554
2.0000000000   9709.7389773908   579.7146939964   10238.6093195460   424.2494170290   9974.1741484684   507.9649073926   2.9445997325   0.0022546944   2.9427307643   0.0028664925   2.9436652484   0.0025788007
3.0000000000   12773.0057675429   770.6526279799   13459.8056171302   562.3095226849   13116.4056923366   674.5730028375   3.8734297845   0.0055138567   3.8685016870   0.0059400707   3.8709657357   0.0057309273
4.0000000000   15751.5462087963   962.2223358670   16587.3656577532   698.8623761676   16169.4559332747   840.9162991832   4.7764648679   0.0103797958   4.7673342752   0.0096970506   4.7718995716   0.0100442260
5.0000000000   18656.7491116191   1154.6334678304   19635.5719661437   834.5504407416   19146.1605388814   1007.3859447044   5.6571671206   0.0167730229   5.6433325210   0.0140351882   5.6502498208   0.0154648118
6.0000000000   21494.3227651904   1347.4675526589   22611.9504232482   969.9613978664   22053.1365942193   1173.9876317107   6.5172808830   0.0245467465   6.4986564127   0.0190684004   6.5079686479   0.0219789292
7.0000000000   24265.1743298276   1539.8862618301   25518.7623045334   1105.4494055908   24891.9683171805   1340.3857817237   7.3570968978   0.0334867210   7.3339538439   0.0250525711   7.3455253709   0.0295718769
8.0000000000   26968.2205103341   1731.0783580920   28356.1097662595   1241.0672305766   27662.1651382968   1506.1341495142   8.1762999026   0.0433705164   8.1492553768   0.0322433140   8.1627776397   0.0382140876
9.0000000000   29602.4484954590   1920.6877842565   31123.5435160382   1377.0385071384   30362.9960057486   1671.1188788853   8.9745880429   0.0540990595   8.9444305197   0.0407784504   8.9595092813   0.0479040200
10.0000000000   32167.5726469163   2108.6615987550   33820.8256834548   1513.7711345979   32994.1991651855   1835.4777015815   9.7518754803   0.0656311304   9.7194063421   0.0506273809   9.7356409112   0.0586113341
11.0000000000   34663.8882381423   2294.9458856918   36448.1190114266   1651.2781738223   35556.0036247845   1999.1868629015   10.5082532319   0.0778942110   10.4742287476   0.0615906347   10.4912409897   0.0702172144
12.0000000000   37092.1488151464   2479.0308656458   39005.7711813212   1789.0749605673   38048.9599982338   2161.7566060213   11.2439597478   0.0907017586   11.2090032550   0.0735080664   11.2264815014   0.0825537547
13.0000000000   39453.3315709434   2659.8207797791   41494.6783651110   1926.6182182994   40474.0049680272   2322.3376519822   11.9593118034   0.1037333732   11.9239952845   0.0863511366   11.9416535439   0.0954388063
14.0000000000   41748.6470388218   2836.1988329886   43916.3592274885   2063.5121465050   42832.5031331552   2480.1316697929   12.6546975426   0.1166729795   12.6196479419   0.1000943366   12.6371727423   0.1087001849
15.0000000000   43979.8962230102   3007.5984161439   46273.0854868562   2199.5035784400   45126.4908549332   2634.7167043499   13.3306751113   0.1293362412   13.2966187287   0.1146452894   13.3136469200   0.1222117131
16.0000000000   46149.8814738668   3173.9190268722   48567.4573020997   2334.2549316447   47358.6693879832   2785.9027329619   13.9880991806   0.1416488011   13.9556593681   0.1297874298   13.9718792744   0.1358476348
17.0000000000   48262.0285646407   3335.2173260900   50802.0899427348   2467.3480318384   49532.0592536877   2933.5542369682   14.6280112986   0.1535769316   14.5975261591   0.1452646141   14.6127687289   0.1494785637
