# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   806.0102622614   37.1653876318   848.1186094436   26.7155365963   827.0644358525   32.3649960100   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   1567.8743287961   73.8648648322   1648.8751006283   52.4796099410   1608.3747147122   64.0707722610   1.9451345450   0.0024607184   1.9441361067   0.0017654040   1.9446353259   0.0021414699
2.0000000000   2249.7892070017   110.0688359623   2362.1332879916   76.6816315922   2305.9612474967   94.8557359197   2.7908891589   0.0091749963   2.7850633843   0.0059026342   2.7879762716   0.0077143259
3.0000000000   2864.4970754641   146.1826754682   3000.3467578068   99.5754192444   2932.4219166355   125.0692582627   3.5530846207   0.0195704607   3.5374713892   0.0110570858   3.5452780049   0.0158943713
4.0000000000   3436.6637838395   182.0361832375   3590.2874523366   121.4876267600   3513.4756180880   154.7520847411   4.2624005784   0.0319815391   4.2329434501   0.0163508668   4.2476720142   0.0253985205
5.0000000000   3984.5163156554   217.2552828761   4152.4383840400   142.9829384430   4068.4773498477   183.9075564290   4.9415229867   0.0450313638   4.8956318155   0.0216403602   4.9185774011   0.0353279558
6.0000000000   4517.2689628841   251.7804071758   4697.6228717990   164.5796531241   4607.4459173416   212.6967743762   5.6019125354   0.0581933027   5.5382898940   0.0269941392   5.5701012147   0.0453604676
7.0000000000   5038.5865103260   285.8010566647   5230.1335864598   186.5518807041   5134.3600483929   241.3336364713   6.2481143790   0.0715063099   6.1659744353   0.0328585621   6.2070444072   0.0556454735
8.0000000000   5549.6921223592   319.5476158483   5751.0694654444   209.1737527447   5650.3807939018   270.0595653108   6.8816365368   0.0852547228   6.7799747231   0.0400083686   6.8308056299   0.0665921817
9.0000000000   6050.6864689133   353.2259370208   6260.6260251885   232.2739090862   6155.6562470509   298.9312056531   7.5025929474   0.0997392965   7.3805291560   0.0484458146   7.4415610517   0.0784057530
10.0000000000   6541.3370920962   386.8803109630   6758.8887347701   255.3025440206   6650.1129134332   327.7619288403   8.1106936832   0.1151050742   7.9677583871   0.0574579417   8.0392260351   0.0909686572
11.0000000000   7021.4782622683   419.9583131580   7245.7305880209   277.7295496730   7133.6044251446   356.0187407652   8.7057655744   0.1305960033   8.5415307122   0.0662986960   8.6236481433   0.1035635872
12.0000000000   7490.6775449234   452.2312044438   7721.2090933704   299.0650501015   7605.9433191469   383.3751207791   9.2872822212   0.1457286058   9.1019303455   0.0742352578   9.1946062834   0.1156453632
13.0000000000   7948.4715958103   484.0556979560   8185.2647397726   319.0705703056   8066.8681677915   409.9487453077   9.8546447139   0.1608913122   9.6488967260   0.0811255977   9.7517707199   0.1274114927
14.0000000000   8394.6061554536   515.4906682180   8637.4328166229   337.4522198860   8516.0194860383   435.6630749363   10.4075335449   0.1762442856   10.1818941440   0.0868587079   10.2947138444   0.1389361064
15.0000000000   8829.0652041619   546.1298483217   9077.5508569551   354.6184859025   8953.3080305585   460.4411372649   10.9459546925   0.1913986578   10.7007171030   0.0919732539   10.8233358978   0.1501541302
16.0000000000   9252.2632511392   575.7304264862   9506.5185064106   371.4756413218   9379.3908787749   484.4892548227   11.4704403627   0.2060842115   11.2063934176   0.0972824855   11.3384168902   0.1611437002
17.0000000000   9665.1001664553   604.5703838752   9924.9356604306   389.0381158456   9795.0179134429   508.3581437528   11.9820948197   0.2206571561   11.6995912062   0.1035273187   11.8408430129   0.1723477390
18.0000000000   10068.5053272266   632.8559885733   10332.5202312189   407.5672374832   10200.5127792228   532.2676748323   12.4820609454   0.2353230895   12.1799666474   0.1109047373   12.3310137964   0.1839521911
19.0000000000   10462.9089235731   660.3033942331   10728.7733925597   426.7428921279   10595.8411580664   555.9271842685   12.9708891395   0.2496866722   12.6469437069   0.1192809848   12.8089164232   0.1956673039
