# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   3155.6222364967   52.6470477612   3541.1851440448   191.9926084785   3348.4036902707   140.7708658571   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   6265.9080961771   105.0203654978   7033.8245928149   384.3501482071   6649.8663444960   281.7395194112   1.9856300197   0.0003726603   1.9862362696   0.0009337655   1.9859331447   0.0007109127
2.0000000000   9282.8248758953   156.8367502185   10425.0280724405   577.0984993163   9853.9264741679   422.8714013339   2.9416655804   0.0013937331   2.9437207440   0.0036899594   2.9426931622   0.0027891120
3.0000000000   12202.3602633945   208.4138719177   13709.0942220476   769.5456714804   12955.7272427211   563.7538835795   3.8668330210   0.0031497377   3.8708514308   0.0081475121   3.8688422259   0.0061766820
4.0000000000   15037.2806126315   260.1777985417   16900.2057597723   961.1629126696   15968.7431862019   704.1046199058   4.7651769926   0.0057154325   4.7716579536   0.0139410587   4.7684174731   0.0106540904
5.0000000000   17799.9200966986   312.1540476027   20013.7140860102   1152.0038127997   18906.8170913544   843.9647309396   5.6406078299   0.0090658397   5.6504902927   0.0209026994   5.6455490613   0.0161107463
6.0000000000   20497.1156950972   364.1879777688   23059.1065620716   1342.5330747326   21778.1111285844   983.6228799449   6.4952943084   0.0131195722   6.5100291503   0.0290686802   6.5026617294   0.0225511789
7.0000000000   23131.2806885883   416.2719957861   26039.9208990976   1533.3859472832   24585.6007938429   1123.5112010570   7.3300020253   0.0179093620   7.3512663080   0.0385786204   7.3406341667   0.0300753653
8.0000000000   25702.5539443839   468.5924188732   28956.4749523643   1725.1468120520   27329.5144483741   1264.0629687952   8.1447745493   0.0235528748   8.1742822488   0.0495756667   8.1595283991   0.0388103378
9.0000000000   28210.3085299208   521.4126349275   31808.1733585084   1918.1046679528   30009.2409442146   1405.5242177003   8.9394123035   0.0301585960   8.9789038590   0.0621033374   8.9591580812   0.0488178524
10.0000000000   30653.8548350632   574.7770873622   34594.7524411096   2112.3746502210   32624.3036380864   1547.9818091717   9.7136972253   0.0377450053   9.7650547943   0.0761758429   9.7393760098   0.0601142431
11.0000000000   33032.7655299604   628.4779735611   37316.4453439485   2308.2331883808   35174.6054369544   1691.5857967000   10.4674959056   0.0462494417   10.5327968642   0.0919012864   10.5001463849   0.0727490801
12.0000000000   35347.0409513947   682.3099761278   39973.8394122346   2506.2015921530   37660.4401818146   1836.6536587003   11.2008107783   0.0556610146   11.2822882870   0.1094527772   11.2415495326   0.0868275848
13.0000000000   37597.4522818507   736.1457369003   42568.2615592634   2706.6720876383   40082.8569205571   1983.4293957634   11.9138883010   0.0659852145   12.0138993637   0.1289566393   11.9638938323   0.1024301307
14.0000000000   39785.7197752706   789.8908990551   45101.8604248683   2909.6279673420   42443.7901000695   2131.8844411399   12.6072760081   0.0772677456   12.7282408837   0.1504208678   12.6677584459   0.1195757960
15.0000000000   41913.7132349022   843.3907811648   47577.5110632353   3114.8153159574   44745.6121490687   2281.8175280110   13.2815698918   0.0895977543   13.4261337082   0.1737500352   13.3538518000   0.1382331948
16.0000000000   43983.3806919773   896.6006054425   49998.0203558651   3322.0852625149   46990.7005239212   2433.1197193211   13.9373905019   0.1030903758   14.1083766932   0.1988037725   14.0228835975   0.1583517691
17.0000000000   45997.0738118446   949.5229604670   52365.9460160372   3531.5814733024   49181.5099139409   2585.8907126005   14.5754859030   0.1178085365   14.7756916115   0.2254541446   14.6755887573   0.1798727642
18.0000000000   47957.3186743637   1002.4818431871   54683.7100133589   3743.8602656053   51320.5143438613   2740.5710658819   15.1966569775   0.1338022503   15.4287540172   0.2536897262   15.3127054974   0.2028071983
19.0000000000   49866.2741353159   1055.7766367699   56953.4723379825   3959.3786309201   53409.8732366492   2897.5285546251   15.8015877988   0.1510558860   16.0681667597   0.2835035097   15.9348772793   0.2271476620
20.0000000000   51725.6307655652   1109.4752999740   59176.9478522369   4178.1946989870   55451.2893089010   3056.8158583643   16.3908133336   0.1693510919   16.6944131447   0.3148135396   16.5426132391   0.2527719892
21.0000000000   53536.3049567908   1163.4840592559   61355.0680400225   4400.0809285898   57445.6864984066   3218.2609693965   16.9646231680   0.1884265473   17.3077588020   0.3474708702   17.1361909850   0.2795000620
22.0000000000   55297.9563775601   1217.6510979459   63487.9799533640   4624.8370906974   59392.9681654621   3381.7001871706   17.5229107299   0.2082031990   17.9082471980   0.3813743542   17.7155789640   0.3072417372
23.0000000000   57009.5232496066   1272.0518789345   65575.0031327716   4852.1154271330   61292.2631911891   3546.9099298490   18.0653423172   0.2288445417   18.4956913921   0.4164539779   18.2805168546   0.3360087350
24.0000000000   58669.8779654252   1327.1375693235   67615.0096006752   5081.1469697939   63142.4437830502   3713.4450754357   18.5915614899   0.2505643594   19.0697865371   0.4525953123   18.8306740135   0.3658039194
25.0000000000   60278.0669475559   1383.6364283976   69606.7204222338   5311.0646986268   64942.3936848949   3880.8412747102   19.1012637956   0.2734978586   19.6301863068   0.4896315493   19.3657250512   0.3965729017
26.0000000000   61833.5116928843   1442.1459194295   71549.0176471965   5541.5147689893   66691.2646700404   4048.9610264766   19.5942635438   0.2976928395   20.1765800942   0.5274761762   19.8854218190   0.4282827005
27.0000000000   63336.0794521382   1502.9045971586   73441.1866520758   5772.2701566367   68388.6330521070   4217.6904218635   20.0705184332   0.3231361609   20.7087688762   0.5660589409   20.3896436547   0.4608902814
