# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   7720.0412286629   1072.5438164401   7674.4477627658   938.8794660228   7697.2444957144   1007.9297817565   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   15377.7663394996   2145.0513400052   15281.2219517254   1878.2455428938   15329.4941456125   2016.0669099336   1.9917596040   0.0012374142   1.9910463841   0.0011131485   1.9914029941   0.0011769226
2.0000000000   22923.9640570581   3217.4211915878   22762.4364770912   2818.4733334032   22843.2002670747   3024.5322824515   2.9687722255   0.0046900848   2.9654811932   0.0042824938   2.9671267094   0.0044909158
3.0000000000   30376.7591252171   4289.7024228458   30134.0861003069   3759.3164559767   30255.4226127620   4033.2373530916   3.9334337215   0.0100101874   3.9254225604   0.0092237274   3.9294281410   0.0096249935
4.0000000000   37767.5015267927   5362.3973052722   37430.7225450482   4699.7680409419   37599.1120359204   5041.9799929318   4.8898807564   0.0166368703   4.8754536352   0.0152767761   4.8826671958   0.0159713077
5.0000000000   45116.4783824089   6435.6456828350   44677.3784700615   5638.9823844208   44896.9284262352   6050.4403842531   5.8407932612   0.0241894569   5.8188962830   0.0219570460   5.8298447721   0.0231002348
6.0000000000   52432.4816243706   7508.7705886200   51885.8260141282   6576.7884058448   52159.1538192494   7058.1789963056   6.7873468768   0.0324025886   6.7573089756   0.0290673000   6.7723279262   0.0307801534
7.0000000000   59718.2700759243   8580.5550868216   59059.7010339131   7513.2054685032   59388.9855549187   8064.5577067167   7.7299306572   0.0410461418   7.6911720156   0.0365541210   7.7105513364   0.0388650841
8.0000000000   66973.5545517831   9650.8072654675   66199.3671761548   8448.4141013725   66586.4608639690   9069.5584706057   8.6685099849   0.0501077005   8.6205307038   0.0444383055   8.6445203444   0.0473579172
9.0000000000   74196.2651704939   10720.5103650658   73303.4189412777   9383.2322599282   73749.8420558858   10074.0853215377   9.6027921512   0.0597692351   9.5451863495   0.0528530498   9.5739892503   0.0564172241
10.0000000000   81382.6313560996   11790.6592671728   80369.3055193521   10317.9051647223   80875.9684377259   11078.7818135112   10.5322617789   0.0702021394   10.4647982984   0.0618657245   10.4985300387   0.0661653544
11.0000000000   88528.2140756618   12861.5732869948   87393.8900221019   11251.6905111394   87961.0520488819   12083.4723232853   11.4563290309   0.0814835537   11.3789638959   0.0714222477   11.4176464634   0.0766182322
12.0000000000   95628.8008942887   13933.1799190642   94373.2242355397   12184.1563844114   95001.0125649142   13087.9175092298   12.3744391613   0.0936780267   12.2871684561   0.0815188076   12.3308038087   0.0878091359
13.0000000000   102680.1998592207   15005.2291848086   101303.0692093725   13116.0604869109   101991.6345342966   14092.3373786064   13.2860411303   0.1068666236   13.1888397522   0.0923201754   13.2374404412   0.0998586251
14.0000000000   109678.6247731191   16077.2345541062   108179.7924198489   14048.3389253936   108929.2085964840   15096.9085820653   14.1906421637   0.1210950216   14.0834822520   0.1040231155   14.1370622079   0.1128822679
15.0000000000   116620.7913458048   17148.6284499587   115000.3608773509   14981.1875478788   115810.5761115779   16101.4197830417   15.0878181637   0.1363710855   14.9706911902   0.1167343817   15.0292546769   0.1269330312
16.0000000000   123504.3153903021   18218.7681430849   121762.5076641236   15914.4204245958   122633.4115272128   17105.4419718153   15.9772661018   0.1526564832   15.8501693613   0.1304937232   15.9137177316   0.1420081224
17.0000000000   130327.8373811860   19287.1456131633   128464.4673818920   16847.7180093083   129396.1523815390   18108.5558234849   16.8588155937   0.1699141455   16.7216883767   0.1452956712   16.7902519852   0.1580848647
