# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   944.7270216150   23.7746629112   1074.5042143761   45.3659802328   1009.6156179955   36.2167555078   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   1832.9884890552   47.2046780580   2089.7434880725   92.1388742963   1961.3659885639   73.2046917457   1.9402090570   0.0014120805   1.9447295082   0.0036542383   1.9424692826   0.0027701470
2.0000000000   2621.0586260950   69.6865601809   2998.2548636369   140.5654654486   2809.6567448659   110.9388722374   2.7743333241   0.0043834952   2.7899503420   0.0130399178   2.7821418331   0.0097276535
3.0000000000   3328.0930524434   91.1035109526   3818.3443896253   189.0869164702   3573.2187210344   148.4144731623   3.5226609329   0.0080188469   3.5527668978   0.0259563106   3.5377139153   0.0192097887
4.0000000000   3986.7805121540   112.0986993370   4583.9162927374   236.7243940332   4285.3484024457   185.2087432108   4.2197974578   0.0125699988   4.2648024817   0.0402108394   4.2422999698   0.0297902373
5.0000000000   4619.3800791017   133.4027266943   5319.8139989854   283.0753448080   4969.5970390436   221.2780358820   4.8893024333   0.0187348029   4.9492209683   0.0545946605   4.9192617008   0.0408140282
6.0000000000   5235.6001973308   155.4158887062   6038.2503355476   328.6196459744   5636.9252664392   257.0456867783   5.5414494797   0.0265063551   5.6173911138   0.0692768013   5.5794202967   0.0524493187
7.0000000000   5838.3226118324   177.7759826361   6743.4220784779   374.0988369745   6290.8723451552   292.8773120506   6.1792966021   0.0350452265   6.2732045882   0.0849517777   6.2262505951   0.0649806603
8.0000000000   6428.1044123088   199.4042797938   7435.6582220863   419.8523719995   6931.8813171975   328.6625024806   6.8034540054   0.0430141623   6.9169594930   0.1018441480   6.8602067492   0.0781743201
9.0000000000   7004.9511614915   219.4407257661   8113.8411479751   466.4377895871   7559.3961547333   364.4985896266   7.4139440397   0.0495013857   7.5475971708   0.1202541724   7.4807706053   0.0919550248
10.0000000000   7568.9141070016   237.4685304476   8776.7587332838   514.1801868674   8172.8364201427   400.4825636154   8.0108292454   0.0541314306   8.1639774543   0.1403821253   8.0874033499   0.1063892685
11.0000000000   8120.0223216294   253.9434808956   9424.0875845684   562.6093191442   8772.0549530989   436.4725291913   8.5941319988   0.0574970290   8.7658136000   0.1619166057   8.6799727994   0.1214966986
12.0000000000   8658.1323263207   269.8925112299   10056.2286878042   611.3539469158   9357.1805070624   472.5439746878   9.1636809225   0.0608124143   9.3534918313   0.1846443639   9.2585863769   0.1374621600
13.0000000000   9182.5468134043   285.7755142519   10673.3957390553   660.4430190829   9927.9712762298   508.8480254463   9.7187302447   0.0648585923   9.9272100608   0.2084797756   9.8229701528   0.1543866151
14.0000000000   9692.4676224039   301.1227210941   11275.8703463948   710.0912791844   10484.1689843993   545.3918398422   10.2584445649   0.0692750913   10.4872217370   0.2333358082   10.3728331510   0.1721113559
15.0000000000   10187.9071795038   315.4365294248   11864.2477961261   759.8825191900   11026.0774878150   581.7738594446   10.7828462402   0.0734828572   11.0340912848   0.2586258122   10.9084687625   0.1901144932
16.0000000000   10669.3144270366   328.5306354773   12439.0339011667   809.4152740102   11554.1741641016   617.6914538215   11.2924141098   0.0772955700   11.5683037643   0.2841671509   11.4303589370   0.2082373343
17.0000000000   11137.0943934641   341.1041382404   13000.9310861187   858.2840179174   12069.0127397914   653.0710101272   11.7875618230   0.0811512314   12.0905305715   0.3099404758   11.9390461973   0.2265486933
18.0000000000   11591.9758409304   353.6369060820   13550.8356426518   906.2539592045   12571.4057417911   687.8790954510   12.2690502059   0.0852036439   12.6016153389   0.3357614727   12.4353327724   0.2449443075
19.0000000000   12034.6714884105   365.8990745870   14088.7995780834   953.5796512675   13061.7355332470   722.2175171287   12.7376374377   0.0890173735   13.1015985030   0.3617739860   12.9196179704   0.2634430771
20.0000000000   12465.4045953610   377.6760851092   14614.1422851210   1000.3842903027   13539.7734402410   756.1110875883   13.1935641314   0.0923898960   13.5898411885   0.3880167233   13.3917026599   0.2820397759
21.0000000000   12884.0636916075   389.2490532988   15126.4592404571   1046.5292913089   14005.2614660323   789.5373275095   13.6367059419   0.0954276713   14.0659682285   0.4142235095   13.8513370852   0.3005724175
22.0000000000   13290.6122569016   401.2134744660   15626.3980733674   1091.6751516833   14458.5051651345   822.4131835324   14.0670103068   0.0982411154   14.5305920843   0.4400084661   14.2988011956   0.3187936378
23.0000000000   13685.3657860511   413.8549503587   16114.6774750345   1135.3199753261   14900.0216305428   854.4668999765   14.4848024927   0.1005053563   14.9843959122   0.4648327390   14.7345992025   0.3362817286
24.0000000000   14068.9529379510   427.0751024865   16591.3557468496   1177.3350452796   15330.1543424003   885.5819984641   14.8907491174   0.1019701389   15.4274337428   0.4883723536   15.1590914301   0.3527785885
25.0000000000   14441.4352476864   440.2129315041   17055.8977271374   1218.1672367123   15748.6664874119   915.8926906747   15.2849299300   0.1023626089   15.8591910573   0.5109277780   15.5720604937   0.3684598336
26.0000000000   14802.4904267504   452.6771095483   17508.1643915982   1258.3565679315   16155.3274091743   945.6156242272   15.6670184396   0.1016846725   16.2795256779   0.5331803082   15.9732720588   0.3838105090
27.0000000000   15151.5255189714   464.6661168671   17948.0536799553   1298.2847130003   16549.7895994634   975.0532796147   16.0363869126   0.1008338183   16.6883342435   0.5556347019   16.3623605781   0.3993102684
28.0000000000   15488.0003783191   477.3688356306   18374.9353113421   1338.0721082532   16931.4678448306   1004.5690548978   16.3924436199   0.1017458689   17.0850307238   0.5786650074   16.7387371719   0.4154548186
29.0000000000   15811.4868880469   491.4014910716   18788.5297216121   1378.0225581313   17300.0083048295   1034.5099313554   16.7347237759   0.1053531070   17.4693519125   0.6028413405   17.1020378442   0.4327337282
30.0000000000   16121.8482797348   506.0836946169   19189.0814216682   1418.3593429783   17655.4648507015   1064.8624164114   17.0630943707   0.1107292024   17.8415220786   0.6284558262   17.4523082247   0.4512303634
31.0000000000   16419.5441142110   519.9237402784   19577.0404541833   1458.8139053173   17998.2922841971   1095.0933079085   17.3780700237   0.1159803323   18.2019677003   0.6551674145   17.7900188620   0.4704762367
32.0000000000   16705.7747892605   532.5886806091   19953.3314435969   1499.0079772219   18329.5531164287   1124.8723524222   17.6809282736   0.1206332013   18.5515564603   0.6823361122   18.1162423669   0.4899668046
33.0000000000   16981.5887229293   544.8083893411   20319.2156447404   1538.9655080790   18650.4021838348   1154.3896690791   17.9727656625   0.1255480947   18.8914559625   0.7096077789   18.4321108125   0.5095613427
34.0000000000   17247.7596569723   557.3656083181   20675.3254947633   1578.7337910600   18961.5425758678   1183.8616482449   18.2543867833   0.1316379824   19.2222492628   0.7367963030   18.7383180231   0.5292434933
35.0000000000   17505.1434470864   570.5745782444   21022.0048341642   1617.9933574873   19263.5741406253   1213.1483532965   18.5266919294   0.1392022079   19.5442617724   0.7634461528   19.0354768509   0.5487382267
36.0000000000   17754.5968390814   583.7347102843   21359.5064575992   1656.7719035637   19557.0516483403   1242.1029249681   18.7906027287   0.1474718741   19.8577245580   0.7894496181   19.3241636433   0.5678814371
37.0000000000   17996.5022266933   596.1504151192   21688.0186674785   1695.1532669104   19842.2604470859   1270.6179433181   19.0465390787   0.1558224914   20.1628103771   0.8148951035   19.6046747279   0.5866577701
38.0000000000   18231.2015663398   607.9637128587   22007.8345207228   1732.9854620472   20119.5180435313   1298.6259060676   19.2948618826   0.1646008670   20.4597982390   0.8397244711   19.8773300608   0.6050746370
39.0000000000   18459.2185628921   619.5615030678   22319.8069411580   1769.8949959978   20389.5127520250   1325.9684673743   19.5361200375   0.1744177691   20.7494980634   0.8637635523   20.1428090504   0.6231007272
40.0000000000   18680.9252969320   631.8404945159   22625.0476986353   1805.8557624502   20652.9864977837   1352.8372860926   19.7706914116   0.1862819361   21.0329465921   0.8869582362   20.4018190018   0.6408571886
41.0000000000   18896.2362609562   645.7524393172   22924.3126365973   1841.7330169421   20910.2744487768   1380.0320138639   19.9984674518   0.2010380330   21.3108199530   0.9099399831   20.6546437024   0.6589412203
42.0000000000   19105.0996689100   661.8348950973   23218.4635659722   1878.0097979109   21161.7816174411   1408.0032367537   20.2193823412   0.2188604562   21.5839061232   0.9330790331   20.9016442322   0.6776932865
43.0000000000   19307.8371087446   679.7199896123   23508.2777948773   1914.3197087126   21408.0574518109   1436.4259833775   20.4337838168   0.2390780434   21.8529454462   0.9562362356   21.1433646315   0.6969741922
44.0000000000   19504.9821339257   698.9284102064   23794.2896071312   1950.9805823115   21649.6358705284   1465.4054311265   20.6422471941   0.2611084523   22.1184356555   0.9800190299   21.3803414248   0.7171523279
45.0000000000   19696.7591572268   719.5467454545   24076.1278851189   1988.3956608963   21886.4435211729   1495.2365737845   20.8450100061   0.2850503183   22.3800250766   1.0050115408   21.6125175414   0.7386818940
46.0000000000   19883.4580582692   741.8876093373   24353.2593678030   2026.5563292368   22118.3587130361   1525.9960321800   21.0423751589   0.3112424489   22.6372130872   1.0310702201   21.8397941230   0.7615699774
47.0000000000   20065.3288489630   766.0387711076   24625.9312016651   2065.2477176523   22345.6300253141   1557.5723954456   21.2346082807   0.3398202377   22.8902290255   1.0577295718   22.0624186531   0.7855792898
48.0000000000   20242.6814034248   791.3232975155   24895.1037430856   2104.4229525607   22568.8925732552   1589.7780543923   21.4220504385   0.3699394284   23.1399649816   1.0847685764   22.2810077100   0.8104252109
49.0000000000   20415.7900970998   816.5443843061   25161.0153287962   2143.7581688079   22788.4027129480   1622.1041609392   21.6050110251   0.4000416652   23.3866523987   1.1118945559   22.4958317119   0.8355665256
50.0000000000   20585.0937267405   840.9323448007   25423.0458480310   2183.1423554628   23004.0697873858   1654.2789596600   21.7839683150   0.4293298333   23.6297226404   1.1392430835   22.7068454777   0.8608713345
51.0000000000   20751.3507323978   864.6408241122   25680.5116399328   2222.9903138594   23215.9311861653   1686.6074958677   21.9597237486   0.4580606437   23.8685313330   1.1673712776   22.9141275408   0.8867286093
52.0000000000   20915.0040275847   888.1113374083   25933.4964890161   2264.2056779143   23424.2502583004   1719.7920077051   22.1327379667   0.4866616405   24.1031268925   1.1969676248   23.1179324296   0.9136659803
53.0000000000   21075.5050880991   911.6225620860   26182.0926368826   2307.4426682210   23628.7988624908   1754.3299807663   22.3024249242   0.5154171726   24.3335688089   1.2283711444   23.3179968665   0.9419528996
54.0000000000   21231.6875538769   935.2949148549   26426.1576018763   2352.3540336116   23828.9225778766   1790.0204017276   22.4675444424   0.5443073007   24.5597314501   1.2611913055   23.5136379462   0.9713068379
55.0000000000   21382.5660471259   958.9643483702   26665.5928191221   2398.2019646589   24024.0794331240   1826.3331137472   22.6270508944   0.5729394079   24.7815507754   1.2949874623   23.7043008349   1.0013121623
56.0000000000   21528.1759602714   982.0114147450   26900.9828605564   2444.1688778695   24214.5794104139   1862.5664984418   22.7809936546   0.6008008643   24.9996045062   1.3292974085   23.8902990804   1.0315021277
57.0000000000   21669.3988380021   1004.2720132594   27133.5126657601   2489.4992243001   24401.4557518811   1898.1792149856   22.9303118460   0.6278909391   25.2150214986   1.3634691741   24.0726666723   1.0614365784
58.0000000000   21807.1462849075   1026.3344930945   27364.3964346334   2534.1825313884   24585.7713597704   1933.3188555059   23.0759626062   0.6548901286   25.4289291431   1.3972990222   24.2524458746   1.0911749717
59.0000000000   21941.8218327962   1048.7715217492   27593.9966426680   2578.6486947383   24767.9092377321   1968.4195177487   23.2183649851   0.6824256592   25.6416456271   1.4309386900   24.4300053061   1.1210018543
60.0000000000   22073.2888292765   1072.0952030432   27821.8858956996   2622.9675795692   24947.5873624880   2003.6650228842   23.3573642349   0.7109301232   25.8527676988   1.4643796224   24.6050659668   1.1510493731
61.0000000000   22201.3434692877   1096.2118992766   28047.5039092942   2667.1217968153   25124.4236892909   2039.0217270990   23.4927456692   0.7402777849   26.0617751562   1.4976720929   24.7772604127   1.1813197909
62.0000000000   22326.6331343328   1120.7921933938   28270.7912515541   2711.6718262408   25298.7121929435   2074.7697744570   23.6251993273   0.7700801409   26.2685995602   1.5314238016   24.9468994437   1.2120813264
63.0000000000   22450.2258401086   1145.3615743883   28492.4657444938   2757.0064617777   25471.3457923012   2111.0350265177   23.7558624679   0.7997899558   26.4738996688   1.5659952280   25.1148810684   1.2433834942
64.0000000000   22573.0793486470   1169.5242350770   28712.6122117193   2802.8245547627   25642.8457801832   2147.5116322401   23.8857556689   0.8290086492   26.6777623978   1.6010842423   25.2817590334   1.2748972687
65.0000000000   22695.7807373925   1193.5663166658   28930.8353615187   2848.8387822386   25813.3080494556   2184.0882490717   24.0154903061   0.8578244273   26.8798275298   1.6364378737   25.4476589180   1.3064822353
66.0000000000   22818.1115556065   1217.9939075249   29146.9727284288   2894.5418893303   25982.5421420177   2220.5722131756   24.1448241913   0.8866777951   27.0799605097   1.6716585173   25.6123923505   1.3380283462
67.0000000000   22939.0381777098   1243.2099577962   29361.5030501844   2938.9652381943   26150.2706139471   2256.4449550652   24.2726588371   0.9160982180   27.2786375759   1.7058982086   25.7756482065   1.3691830855
68.0000000000   23057.4447102271   1269.5346006368   29574.4978127859   2981.4045438709   26315.9712615065   2291.3414364110   24.3978084928   0.9464680700   27.4759471928   1.7385447092   25.9368778428   1.3997034532
69.0000000000   23173.1829644175   1296.7147276977   29786.0545081436   3022.1152320963   26479.6187362806   2325.3655154724   24.5201140334   0.9773483086   27.6719724964   1.7698125851   26.0960432649   1.4295884552
70.0000000000   23287.3291471857   1324.3297425094   29996.5132411265   3062.2079920463   26641.9211941561   2359.1277046238   24.6407170448   1.0081866500   27.8669973363   1.8006746932   26.2538571905   1.4592583171
71.0000000000   23400.8879562351   1351.8008078417   30205.9513947373   3102.0466131950   26803.4196754862   2392.7033471072   24.7606903645   1.0384270813   28.0610865038   1.8315418848   26.4108884342   1.4887707142
72.0000000000   23514.2493092583   1379.0115029136   30414.2328472411   3141.4292891102   26964.2410782497   2425.9277301320   24.8804523194   1.0680914052   28.2541221929   1.8623122097   26.5672872561   1.5180622544
73.0000000000   23627.2528182250   1406.5023933926   30621.2081320503   3179.9585873561   27124.2304751376   2458.6973786864   24.9998259060   1.0977814987   28.4459735894   1.8925412548   26.7228997477   1.5470676488
74.0000000000   23739.6191287356   1435.0229437733   30826.8169153305   3217.2165858876   27283.2180220330   2490.9610002634   25.1185005024   1.1281785705   28.6365954602   1.9218159772   26.8775479813   1.5757797335
75.0000000000   23850.7719550091   1464.8282396060   31031.1924138372   3252.7414793542   27440.9821844232   2522.5036078328   25.2358617891   1.1595664572   28.8261260899   1.9497262050   27.0309939395   1.6040615080
76.0000000000   23960.5384259731   1495.3946126587   31234.7892445374   3286.3764029734   27597.6638352552   2553.0839106450   25.3517374066   1.1915175131   29.0149921912   1.9760729496   27.1833647989   1.6316522739
77.0000000000   24069.6394378512   1526.5826150883   31437.5861597489   3317.7303282776   27753.6127988000   2582.4202806537   25.4668919970   1.2238748684   29.2031800102   2.0003685702   27.3350360036   1.6582135131
78.0000000000   24178.7567162601   1558.7106223423   31639.0153067341   3346.9215768755   27908.8860114971   2610.6955822115   25.5820418229   1.2569463463   29.3901551894   2.0227010713   27.4860985061   1.6839289981
79.0000000000   24287.8327362512   1591.3409904424   31838.5417329048   3374.8978575299   28063.1872345780   2638.3992966022   25.6971455472   1.2906323695   29.5753949700   2.0440349796   27.6362702586   1.7093581999
80.0000000000   24396.3264581843   1624.2268756429   32036.0864954719   3402.5455646748   28216.2064768281   2666.0297507013   25.8116485330   1.3250405778   29.7588085412   2.0653858284   27.7852285371   1.7351586603
81.0000000000   24503.8098181712   1657.3204085404   32231.9940412296   3430.2619197785   28367.9019297004   2693.8269965652   25.9251078807   1.3603291624   29.9407165839   2.0873684713   27.9329122323   1.7617608471
82.0000000000   24610.3604511210   1690.0844039369   32426.6041299604   3457.8301366980   28518.4822905407   2721.4862250880   26.0376156923   1.3959503174   30.1214453168   2.1098414029   28.0795305045   1.7888694802
