# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   6794.6591460365   547.6509761622   6269.8527033941   844.8967227246   6532.2559247153   711.9592908876   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   13538.3186451975   1095.3215581561   12484.3937333439   1690.1171277438   13011.3561892707   1424.1181870291   1.9924316489   0.0006414035   1.9909884170   0.0011354351   1.9917100329   0.0009221202
2.0000000000   20184.6716386600   1642.9453655740   18589.4241764734   2535.9100994711   19387.0479075667   2136.5988751823   2.9704236890   0.0024617004   2.9641353951   0.0045126998   2.9672795421   0.0036348610
3.0000000000   26743.0785117114   2190.5562666594   24590.3590926971   3382.1227691032   25666.7188022043   2849.3237077144   3.9353640838   0.0053457634   3.9203254524   0.0100050045   3.9278447681   0.0080211377
4.0000000000   33240.3726705889   2737.9472974232   30515.1754413037   4228.3180399860   31877.7740559463   3561.9537371180   4.8912378812   0.0089407727   4.8641227128   0.0170082325   4.8776802970   0.0135870782
5.0000000000   39698.1325296627   3285.2334040506   36389.8948843208   5074.0509474500   38044.0137069917   4274.2690332037   5.8412465146   0.0129953220   5.7997722285   0.0249715987   5.8205093716   0.0199055160
6.0000000000   46127.4265841595   3832.8647064344   42230.2831213053   5919.4872887232   44178.8548527324   4986.5409664007   6.7870274254   0.0174282099   6.7298350596   0.0336328348   6.7584312425   0.0267853512
7.0000000000   52532.3498407766   4381.2590260950   48043.7019198364   6764.8631023119   50288.0258803065   5699.0702507848   7.7291826728   0.0222517377   7.6555053095   0.0428741682   7.6923439911   0.0341565084
8.0000000000   58913.8537402149   4930.1497464281   53832.7957281127   7609.7330905018   56373.3247341638   6411.4902413902   8.6678566106   0.0274279649   8.5772273008   0.0525454849   8.6225419557   0.0419125354
9.0000000000   65271.1996515713   5479.0365638158   59597.6185835828   8453.4544990028   62434.4091175770   7123.2273105083   9.6029455593   0.0329039879   9.4950282736   0.0625196868   9.5489869165   0.0499568997
10.0000000000   71602.5599386169   6027.7403509176   65336.8788877873   9295.5461400979   68469.7194132021   7833.9272329007   10.5341798484   0.0386823111   10.4087106235   0.0727426932   10.4714452359   0.0582572768
11.0000000000   77905.4387755042   6576.2638788902   71048.3049174675   10135.8093361297   74476.8718464858   8543.4734594066   11.4611891530   0.0447941214   11.3179087589   0.0832399798   11.3895489559   0.0668408840
12.0000000000   84176.6876661194   7124.4744717306   76729.3456937828   10974.3468072892   80453.0166799511   9251.8761433830   12.3835094686   0.0512500682   12.2222029011   0.0941042806   12.3028561849   0.0757699978
13.0000000000   90412.6600403265   7672.2939644296   82377.8382197368   11811.2644993529   86395.2491300316   9959.1682320939   13.3006022783   0.0580732070   13.1212352951   0.1054314245   13.2109187867   0.0851125215
14.0000000000   96610.4501966500   8220.0041961573   87991.6140002740   12646.5724974793   92301.0320984620   10665.4644746219   14.2120331227   0.0653343858   14.0146517117   0.1172748779   14.1133424172   0.0949262317
15.0000000000   102768.3852592608   8767.8878872927   93568.4077462875   13480.4349073016   98168.3965027742   11370.9714469374   15.1175499557   0.0730949220   14.9020813318   0.1296680309   15.0098156437   0.1052536599
16.0000000000   108885.6881415464   9316.3038109463   99106.2654318855   14313.0763171836   103995.9767867160   12075.9610458003   16.0170317141   0.0814192306   15.7832032521   0.1426369679   15.9001174831   0.1161343957
17.0000000000   114961.5537709014   9865.4892765804   104603.9065669227   15144.5659396900   109782.7301689121   12780.5664226579   16.9103548854   0.0903511869   16.6578079061   0.1562076238   16.7840813958   0.1276012513
18.0000000000   120994.9672792225   10415.4504494727   110061.1739391962   15974.8314878257   115528.0706092094   13484.7478495122   17.7973683321   0.0999071506   17.5258691823   0.1703978744   17.6616187572   0.1396726071
19.0000000000   126985.5385122268   10965.7212722230   115478.5050293763   16803.0986651075   121232.0217708016   14187.8674889749   18.6780210201   0.1100233646   18.3874762359   0.1850970268   18.5327486280   0.1522597289
20.0000000000   132933.2834223973   11515.6984041756   120855.8108011888   17628.2225236560   126894.5471117930   14889.0150627814   19.5523244022   0.1206100948   19.2426445913   0.2001323719   19.3974844967   0.1652267552
21.0000000000   138837.9550880536   12064.9900978295   126192.2524358221   18449.9349975726   132515.1037619378   15587.8813100976   20.4202478027   0.1316199902   20.0912469625   0.2154890500   20.2557473826   0.1785488064
22.0000000000   144698.5083923007   12613.4577108774   131486.8852843557   19268.8290331172   138092.6968383282   16284.7641636530   21.2816383013   0.1430529011   20.9331155265   0.2313054881   21.1073769139   0.1923101159
23.0000000000   150513.9109249801   13161.2794440372   136738.9914516874   20085.5051272717   143626.4511883338   16980.0882333057   22.1363396627   0.1549488238   21.7681176258   0.2477077419   21.9522286443   0.2066013836
24.0000000000   156282.9456342687   13708.6979615755   141947.7808488414   20900.0780933218   149115.3632415550   17674.0157308498   22.9841668978   0.1673580357   22.5961201114   0.2647307853   22.7901435046   0.2214623002
25.0000000000   162004.8936154592   14255.6761917756   147112.0497001730   21712.5200656591   154558.4716578161   18366.5161542194   23.8250133738   0.1802819419   23.4169261131   0.2823871742   23.6209697435   0.2369009231
26.0000000000   167679.0255936363   14802.0379373162   152230.4144224097   22522.5958463777   159954.7200080230   19057.3824377460   24.6587733457   0.1937015402   24.2303155142   0.3006608076   24.4445444299   0.2529003835
27.0000000000   173304.3043717850   15347.9088183634   157301.6489794877   23329.8741998032   165302.9766756363   19746.4089808178   25.4852917593   0.2076470179   25.0361011495   0.3194925053   25.2606964544   0.2694371402
28.0000000000   178879.4060015192   15893.6144058304   162325.3050743768   24134.2362119237   170602.3555379480   20433.6528356306   26.3043683393   0.2221763327   25.8342149196   0.3388606137   26.0692916294   0.2865212368
29.0000000000   184403.4052755264   16439.2432774442   167301.2373369460   24935.8808109043   175852.3213062362   21119.2669303485   27.1158651460   0.2373045839   26.6246285024   0.3588102781   26.8702468242   0.3041860296
30.0000000000   189876.4200682928   16984.7699894420   172229.4625400238   25735.1085842857   181052.9413041583   21803.4197482783   27.9198001600   0.2530208671   27.4073361842   0.3794195158   27.6635681721   0.3224738192
31.0000000000   195299.0280151882   17529.8421027357   177110.7700409900   26532.2724946605   186204.8990280891   22486.1829561818   28.7162641765   0.2692722352   28.1824567208   0.4007616193   28.4493604487   0.3414069508
