# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   2776.6552447285   43.5716895258   3015.1103634643   108.6621286316   2895.8828040964   82.7826984547   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   5163.0449451721   84.4059726855   5621.9322887693   219.6734904573   5392.4886169707   166.4043428440   1.8594246674   0.0024815073   1.8643258783   0.0059824719   1.8618752729   0.0045797297
2.0000000000   6851.7154033161   119.4506790624   7486.8446746520   332.7994247230   7169.2800389840   250.0239206801   2.4675424873   0.0086396304   2.4821531199   0.0220692940   2.4748478036   0.0167585344
3.0000000000   7972.6930945356   151.7675975644   8734.8263279502   442.7655502464   8353.7597112429   330.9643003070   2.8711865193   0.0179618193   2.8950910156   0.0449381062   2.8831387675   0.0342203181
4.0000000000   8760.6851086746   187.4150842910   9613.0312101678   546.7773096676   9186.8581594212   408.7112918596   3.1548848504   0.0310144716   3.1852963232   0.0704838885   3.1700905868   0.0544512442
5.0000000000   9391.3920036725   228.1663785846   10315.2108784073   644.9933814870   9853.3014410399   483.7749262201   3.3819374743   0.0474058401   3.4171307493   0.0961309136   3.3995341118   0.0757907192
6.0000000000   9958.2944840248   271.1433563854   10947.8338444048   740.2071566408   10453.0641642148   557.4160719132   3.5860402251   0.0652506395   3.6259148785   0.1213805199   3.6059775518   0.0974445396
7.0000000000   10501.4976568231   311.3443800613   11555.1536040716   836.8547642022   11028.3256304474   631.3720057793   3.7816514141   0.0820245341   3.8262842969   0.1473034603   3.8039678555   0.1192189867
8.0000000000   11032.1480352254   345.2208746764   12150.7563974146   937.2983091015   11591.4522163200   706.2951127386   3.9727916267   0.0964847218   4.0227191760   0.1746594384   3.9977554013   0.1410943319
9.0000000000   11548.4100687277   375.2158867979   12738.6614816884   1038.9507368043   12143.5357752080   781.0907742419   4.1587713889   0.1092895868   4.2165889177   0.2025386070   4.1876801533   0.1627361379
10.0000000000   12046.6437026561   404.9224127961   13320.5109016792   1138.6180449427   12683.5773021676   854.5212731857   4.3382339186   0.1209816015   4.4084838942   0.2298637947   4.3733589064   0.1836762260
11.0000000000   12525.9101173878   436.1261679274   13895.5968002474   1236.0554755855   13210.7534588176   926.8330952971   4.5108175731   0.1318625204   4.5981674801   0.2565056651   4.5544925266   0.2039397957
12.0000000000   12988.8562379149   470.4102731960   14461.9659184086   1335.2285928984   13725.4110781618   1001.0297748873   4.6774629583   0.1424528831   4.7849308239   0.2837898456   4.7311968911   0.2245322921
13.0000000000   13441.8919659760   506.1160156103   15017.0919412201   1435.6723177253   14229.4919535981   1076.4080139845   4.8404967524   0.1526788895   4.9679379557   0.3115580476   4.9042173541   0.2453357499
14.0000000000   13888.1339219503   538.6849042106   15560.5271743310   1532.1796338768   14724.3305481407   1148.4241064370   5.0010864226   0.1617861459   5.1471031072   0.3379542505   5.0740947649   0.2649413449
15.0000000000   14329.3609527743   566.2488871770   16089.0197608782   1619.0004339044   15209.1903568262   1212.8067049641   5.1598885694   0.1693252480   5.3214229820   0.3610499295   5.2406557757   0.2819823498
16.0000000000   14768.1052601227   591.6970135296   16596.3955696633   1697.5433926456   15682.2504148930   1271.1724756568   5.3178115092   0.1763907020   5.4888300113   0.3814398267   5.4033207602   0.2971615900
17.0000000000   15203.1997326899   618.3294570880   17079.2417355295   1774.2960189989   16141.2207341097   1328.6191479386   5.4744175385   0.1840002216   5.6481177379   0.4015280665   5.5612676382   0.3123146408
18.0000000000   15632.1735496798   648.8130103768   17542.0265509097   1853.9923594260   16587.1000502947   1388.9287222972   5.6287982490   0.1928999865   5.8007313221   0.4230944361   5.7147647855   0.3288003244
19.0000000000   16055.9508240572   683.8961785093   17992.1998932458   1934.7841950499   17024.0753586515   1451.0520087844   5.7812851369   0.2033614821   5.9491685472   0.4454235035   5.8652268421   0.3462354617
20.0000000000   16475.3355663708   722.2714851221   18436.2068026904   2013.8961165946   17455.7711845306   1512.8538704474   5.9321727584   0.2149034725   6.0955868761   0.4673550343   6.0138798172   0.3637335774
21.0000000000   16888.2827540384   760.7674922558   18878.4904943328   2087.8729397472   17883.3866241856   1571.3021017299   6.0807342818   0.2264124744   6.2414997377   0.4875771482   6.1611170097   0.3801276654
22.0000000000   17289.9448127356   795.0857813967   19319.7530956165   2154.1617386411   18304.8489541760   1623.6647123105   6.2252590498   0.2367911293   6.3871844282   0.5052510474   6.3062217390   0.3945558641
23.0000000000   17676.0135356667   823.2027987248   19758.2483162751   2213.0179483069   18717.1309259709   1669.5974495903   6.3642153860   0.2455158659   6.5320733234   0.5205829076   6.4481443547   0.4069917715
24.0000000000   18046.0470758577   848.8860314032   20190.4364540423   2269.6382262003   19118.2417649500   1713.4563274477   6.4974201307   0.2536800869   6.6749220314   0.5353761910   6.5861710810   0.4189160133
25.0000000000   18403.3468929483   877.7589269296   20610.6661695530   2330.2231415014   19507.0065312506   1760.7385698896   6.6260356182   0.2631600350   6.8137602640   0.5517295750   6.7198979411   0.4322376244
26.0000000000   18748.9600683906   910.8236380626   21015.3781498610   2399.0245353832   19882.1691091258   1814.5134914109   6.7504353981   0.2743103557   6.9473263211   0.5709659601   6.8488808596   0.4479108722
27.0000000000   19083.7484404273   944.5175195607   21407.6711878138   2476.8474794446   20245.7098141205   1874.4181472110   6.8709403166   0.2858046132   7.0766162550   0.5931630312   6.9737782858   0.4655784888
28.0000000000   19407.3055321510   974.1391457702   21791.2923357403   2561.3661351513   20599.2989339457   1937.7233488842   6.9874192886   0.2959661234   7.2029083331   0.6175161254   7.0951638109   0.4842117880
29.0000000000   19719.3537727429   997.5476399679   22167.1053297900   2647.1125679556   20943.2295512665   2000.2882594059   7.0997916960   0.3042698950   7.3265729249   0.6422550834   7.2131823105   0.5025294823
30.0000000000   20023.7553455285   1014.9984384868   22535.6637132402   2730.8767181029   21279.7095293843   2060.0861000948   7.2094508074   0.3108523148   7.4478309629   0.6662602081   7.3286408852   0.5198710545
31.0000000000   20325.9843574371   1027.3167460610   22896.5078667128   2812.8571838090   21611.2461120750   2117.4920582193   7.3183466517   0.3156419814   7.5665240470   0.6895849321   7.4424353493   0.5362635728
32.0000000000   20628.7862002393   1037.4531141454   23248.7406833513   2892.9199806011   21938.7634417953   2173.1653156411   7.4274447241   0.3194241235   7.6823710665   0.7122718172   7.5549078953   0.5519795795
33.0000000000   20931.2053768355   1051.2358202091   23592.0228118614   2969.5137441049   22261.6140943485   2227.4546713815   7.5363700968   0.3240925638   7.7953046475   0.7339377828   7.6658373721   0.5673185432
34.0000000000   21229.8555444478   1073.9369163131   23926.4257963439   3039.9899655294   22578.1406703958   2279.7894081186   7.6438737257   0.3313740396   7.9054018978   0.7537982167   7.7746378118   0.5822458697
35.0000000000   21521.0923107489   1105.4004620229   24251.0971966820   3101.1847807685   22886.0947537154   2328.0095818006   7.7486380491   0.3411692248   8.0124242610   0.7708265299   7.8805311551   0.5960578743
36.0000000000   21802.8529259238   1141.0693033558   24567.0116536936   3151.1905690726   23184.9322898087   2369.8144608463   7.8499357823   0.3518939160   8.1167007288   0.7842645505   7.9833182556   0.6078240754
37.0000000000   22072.4171353312   1176.3812167851   24876.4886217456   3193.9752382810   23474.4528785384   2406.7977262285   7.9468027609   0.3619422509   8.2189198975   0.7952653526   8.0828613292   0.6178386416
38.0000000000   22326.4649088524   1209.2340061431   25181.0051824769   3237.5113775486   23753.7350456646   2443.7396343892   8.0380516218   0.3706083359   8.3194424696   0.8063735576   8.1787470457   0.6275304188
39.0000000000   22565.7800613662   1237.9871275367   25479.1440457301   3286.6662320889   24022.4620535482   2483.4237505005   8.1239849462   0.3775510054   8.4177379376   0.8192886325   8.2708614419   0.6378787600
40.0000000000   22797.8395535282   1261.8159628419   25770.0174387112   3341.8146085397   24283.9284961197   2525.8567261359   8.2073207588   0.3827794495   8.5135298071   0.8342841546   8.3604252829   0.6490570690
41.0000000000   23028.3587291126   1281.7778368239   26051.2285426330   3402.1231547541   24539.7936358728   2570.7388415674   8.2901446896   0.3870877343   8.6060496912   0.8511846951   8.4480971904   0.6611929745
42.0000000000   23255.0010488797   1297.6766558921   26320.0901019133   3465.4135060141   24787.5455753965   2616.5870395338   8.3716292405   0.3905901270   8.6944285563   0.8692449895   8.5330288984   0.6738499459
43.0000000000   23471.7389843521   1308.7321511057   26575.9172671722   3528.7667238433   25023.8281257621   2661.2942748446   8.4496083139   0.3930384443   8.7784765631   0.8874682756   8.6140424385   0.6863232325
44.0000000000   23671.1606078695   1317.0652077329   26819.1417663602   3592.5926168466   25245.1511871148   2705.6775927705   8.5214111569   0.3953442296   8.8583303343   0.9059780309   8.6898707456   0.6989611049
45.0000000000   23850.4141132709   1326.7151622491   27051.0905507174   3659.8647619988   25450.7523319942   2752.7062318619   8.5859926646   0.3989695294   8.9343896500   0.9257672549   8.7601911573   0.7128189446
46.0000000000   24013.9543662923   1339.4038433535   27273.7514000549   3729.7798557132   25643.8528831736   2802.2544877004   8.6449339457   0.4042762559   9.0073239007   0.9465345419   8.8261289232   0.7277935593
47.0000000000   24170.8886667591   1353.7100930959   27489.9467406455   3798.7570751704   25830.4177037023   2851.5860790362   8.7014996151   0.4103768669   9.0781223201   0.9670530183   8.8898109676   0.7428326572
48.0000000000   24329.2657578958   1366.6977191983   27702.9249504830   3862.4357797447   26016.0953541894   2897.0910244859   8.7585703397   0.4156847160   9.1479319940   0.9858516811   8.9532511669   0.7565372827
49.0000000000   24493.1129150691   1375.9674385959   27917.3971543558   3918.7172465615   26205.2550347124   2936.8036409143   8.8175944611   0.4191182002   9.2183490565   1.0021897906   9.0179717588   0.7681290393
50.0000000000   24664.6707673093   1380.6805404943   28139.6848645204   3969.5508791491   26402.1778159149   2971.8355386068   8.8793862593   0.4204264329   9.2914438006   1.0166585191   9.0854150300   0.7779308870
51.0000000000   24843.5806008697   1381.5533986661   28371.2481441852   4016.4652076009   26607.4143725275   3003.3882996738   8.9438109393   0.4198316692   9.3676818835   1.0297767821   9.1557464114   0.7863519731
52.0000000000   25026.1796070700   1380.6630492212   28605.6654520910   4059.9554410706   26815.9225295805   3032.2820316523   9.0095495828   0.4182289552   9.4449312409   1.0418202054   9.2272404119   0.7938213903
53.0000000000   25208.6041840784   1382.7300411643   28834.5120996521   4103.0144179415   27021.5581418653   3061.5902469610   9.0752177577   0.4177390440   9.5203504492   1.0538779936   9.2977841034   0.8016123547
54.0000000000   25391.5228520592   1391.9119403592   29050.6396965053   4148.2511397043   27221.0812742823   3093.9785364294   9.1410548594   0.4201319656   9.5915118542   1.0668198464   9.3662833568   0.8107451675
55.0000000000   25575.1228079499   1406.7231245844   29252.3292795730   4195.1595848242   27413.7260437615   3128.7564535597   9.2071437827   0.4250666855   9.6578439261   1.0804474567   9.4324938544   0.8209897667
56.0000000000   25757.3219285628   1424.6938917251   29442.3852508503   4240.5472538728   27599.8535897066   3163.2257030954   9.2727437664   0.4316246709   9.7203369087   1.0937094014   9.4965403376   0.8314144908
57.0000000000   25933.5127004223   1443.9268317961   29626.2400960919   4280.5827370606   27779.8763982571   3194.3945642643   9.3361988748   0.4390080011   9.7808601775   1.1053012847   9.5585295262   0.8409574766
58.0000000000   26099.3194127090   1463.4178870776   29808.2761291220   4317.6220896919   27953.7977709155   3223.6200475253   9.3959520893   0.4470523864   9.8408263397   1.1159064478   9.6183892145   0.8500303043
59.0000000000   26254.5482026187   1480.3715998801   29991.4180038677   4358.9367507593   28122.9831032432   3255.1366845996   9.4519755752   0.4552252597   9.9010917888   1.1278520892   9.6765336820   0.8600233637
60.0000000000   26403.8332789288   1491.8397334879   30177.2274551146   4407.5163486338   28290.5303670217   3290.2724928102   9.5059545619   0.4625541280   9.9621404176   1.1421652168   9.7340474898   0.8713488692
61.0000000000   26550.6433885725   1498.5051235755   30368.7942948878   4460.0257418008   28459.7188417302   3326.9616185724   9.5590931931   0.4686722102   10.0250473900   1.1577256988   9.7920702916   0.8831711143
62.0000000000   26696.6608960971   1502.4798572560   30565.9328258647   4509.8250350927   28631.2968609809   3361.2473554180   9.6119355766   0.4735572579   10.0898476741   1.1723399137   9.8508916254   0.8940462375
63.0000000000   26842.0399192562   1504.7630668244   30764.1387336224   4552.7122146260   28803.0893264393   3390.5383345778   9.6645084198   0.4772162429   10.1551157915   1.1847007730   9.9098121056   0.9031199433
64.0000000000   26983.8642605047   1507.3385379414   30961.1270865212   4589.1314958027   28972.4956735130   3415.5671091147   9.7157558168   0.4803730546   10.2200873276   1.1949720712   9.9679215722   0.9106910899
65.0000000000   27118.8319297412   1511.2908716479   31159.4944391291   4622.8588772708   29139.1631844352   3439.1004854386   9.7644945734   0.4835408978   10.2855440090   1.2042528749   10.0250192912   0.9176156021
66.0000000000   27244.7352047155   1516.0270247198   31358.7722050292   4658.4713017444   29301.7537048724   3464.0794454557   9.8099308374   0.4864815189   10.3512424072   1.2139794277   10.0805866223   0.9247730313
67.0000000000   27362.8337143721   1521.1293923935   31556.3088585548   4696.6209229989   29459.5712864634   3490.8510941284   9.8525201459   0.4890304704   10.4163003287   1.2244444415   10.1344102373   0.9323129816
68.0000000000   27478.4824525251   1526.5486027159   31749.8092987479   4735.7202550055   29614.1458756365   3518.3374603727   9.8942108218   0.4914392752   10.4800070284   1.2352840271   10.1871089251   0.9400636119
69.0000000000   27595.5359913571   1531.7071468185   31937.0867144997   4777.8875801176   29766.3113529284   3547.8399422647   9.9364201209   0.4939186117   10.5416256322   1.2473287699   10.2390228765   0.9486265480
70.0000000000   27715.8323072201   1537.9547166015   32116.6612905911   4827.0841241173   29916.2467989056   3582.3208853774   9.9798078515   0.4969789570   10.6006172941   1.2619806085   10.2902125728   0.9590576468
71.0000000000   27839.2272473286   1546.1843392192   32287.8928459181   4881.1164091525   30063.5600466233   3620.4960579004   10.0243051552   0.5007247155   10.6567975621   1.2784962616   10.3405513587   0.9708959603
72.0000000000   27964.7944127171   1554.6629420732   32448.1812158475   4934.5587823545   30206.4878142823   3658.3361819253   10.0695677017   0.5043191826   10.7093649087   1.2950122749   10.3894663052   0.9826989951
73.0000000000   28088.7134334813   1562.6965225293   32594.9469901155   4982.2337596889   30341.8302117984   3692.1994568082   10.1142246815   0.5075776221   10.7575208557   1.3097582260   10.4358727686   0.9932526499
74.0000000000   28206.6100751703   1569.7199774301   32732.4948638838   5022.2690960405   30469.5524695270   3720.6993751569   10.1567105007   0.5104369733   10.8027101539   1.3220060015   10.4797103273   1.0020593225
75.0000000000   28319.9899941435   1574.7411471291   32866.8956543921   5058.3516114528   30593.4428242678   3746.1133662470   10.1975898525   0.5128368300   10.8469029650   1.3329479986   10.5222464088   1.0098890982
76.0000000000   28434.9129606858   1579.0668590697   33002.2020510640   5092.7528349504   30718.5575058749   3770.2508924014   10.2390511292   0.5153512166   10.8914220775   1.3433289377   10.5652366034   1.0173788653
77.0000000000   28558.1129816635   1584.4280957735   33139.7645656576   5123.3358033171   30848.9387736605   3792.0299408250   10.2834996640   0.5183331725   10.9367456692   1.3523971012   10.6101226666   1.0241208906
78.0000000000   28690.8194529568   1592.2191967787   33278.7298393167   5148.9785062858   30984.7746461367   3810.9802957234   10.3313686174   0.5221935146   10.9826065420   1.3597816388   10.6569875797   1.0299738278
79.0000000000   28830.1263524335   1603.1762289768   33416.3014407945   5172.0601795979   31123.2138966140   3828.8627895589   10.3816155005   0.5273010160   11.0280361657   1.3662774947   10.7048258331   1.0355579545
80.0000000000   28973.5603297067   1617.6820951407   33550.4092612583   5195.0836964080   31261.9847954825   3847.4530519308   10.4333694582   0.5340957920   11.0722937688   1.3726626009   10.7528316135   1.0415039441
81.0000000000   29120.4016046565   1634.1109638269   33680.5545798713   5218.4414508106   31400.4780922639   3866.6813818595   10.4864033771   0.5423852593   11.1151916983   1.3789923255   10.8007975377   1.0478076167
82.0000000000   29269.6453000266   1650.5372949099   33807.8954514161   5242.0482932197   31538.7703757214   3886.0869567173   10.5403609958   0.5514702517   11.1571286096   1.3852888291   10.8487448027   1.0543112867
83.0000000000   29417.8168104737   1667.3337252725   33937.3725678118   5267.0187543266   31677.5946891428   3906.5002438154   10.5939605941   0.5610296010   11.1997562036   1.3920033089   10.8968583989   1.0612321671
84.0000000000   29561.5940563325   1686.0119690135   34072.7762481584   5297.1117456981   31817.1851522455   3930.7778623365   10.6459629176   0.5710082823   11.2442906225   1.4004194611   10.9451267701   1.0693982246
85.0000000000   29698.2865000053   1705.1777042852   34215.9028952176   5333.7720826831   31957.0946976114   3959.5931377606   10.6953799840   0.5806228030   11.2913019899   1.4109916295   10.9933409869   1.0788930016
86.0000000000   29823.5622509580   1722.0986201942   34366.8610962231   5374.6144674766   32095.2116735905   3990.7458157394   10.7406654886   0.5890994535   11.3408583939   1.4229148762   11.0407619412   1.0889731198
87.0000000000   29937.5834868937   1737.7633014454   34522.2674752106   5417.4244194723   32229.9254810521   4022.9534320288   10.7818879330   0.5970052076   11.3918865981   1.4355650871   11.0868872655   1.0993776278
88.0000000000   30046.9266771300   1752.2452156693   34674.2753296552   5462.2094459288   32360.6010033926   4056.2356518717   10.8214253790   0.6045167335   11.4418107484   1.4491641995   11.1316180637   1.1102966627
89.0000000000   30157.9552140555   1763.8282318693   34815.8504384320   5508.3199479537   32486.9028262437   4089.7847547618   10.8615693645   0.6109803647   11.4883009015   1.4635574114   11.1749351330   1.1214493530
90.0000000000   30272.5897129007   1771.5469309084   34943.6735868508   5555.4732238190   32608.1316498757   4123.2063536149   10.9029973097   0.6158167061   11.5302329845   1.4785721442   11.2166151471   1.1325647445
91.0000000000   30390.2059342549   1775.1778939777   35061.5351524984   5604.1724987879   32725.8705433767   4156.8020130527   10.9454733811   0.6187658380   11.5688263700   1.4941756731   11.2571498756   1.1435541317
92.0000000000   30511.6150851648   1774.0457328301   35177.8322537849   5653.7149064362   32844.7236694749   4189.9719871039   10.9893073006   0.6198064358   11.6068584520   1.5099447049   11.2980828763   1.1541431951
93.0000000000   30639.5280238957   1766.1279107051   35299.0305314260   5701.8531992693   32969.2792776608   4220.8019204287   11.0355056201   0.6186304953   11.6465013735   1.5250563700   11.3410034968   1.1637226090
94.0000000000   30773.9991516399   1751.2737288522   35428.8509387212   5746.2761333089   33101.4250451806   4247.7434640997   11.0840921214   0.6152946426   11.6890119001   1.5386810997   11.3865520107   1.1717779277
95.0000000000   30911.9058380613   1733.7798895221   35568.0489564549   5785.9165239521   33239.9773972581   4270.9965305215   11.1339151158   0.6110213035   11.7346665206   1.5504978725   11.4342908182   1.1784291845
96.0000000000   31046.8999026346   1718.8472486222   35715.1586500809   5824.0007649468   33381.0292763578   4293.7990622639   11.1826709353   0.6074678313   11.7829796663   1.5617448786   11.4828253008   1.1849186115
97.0000000000   31173.9443000931   1710.7627773899   35865.9372672272   5863.6698196577   33519.9407836602   4319.1048282293   11.2285562484   0.6063344787   11.8325310325   1.5736142352   11.5305436404   1.1924561336
98.0000000000   31291.3125668106   1708.7483259505   36010.4390396541   5904.4508368152   33650.8758032324   4346.3985393545   11.2709525292   0.6073794619   11.8800131751   1.5860092426   11.5754828522   1.2009028121
99.0000000000   31400.2222904785   1708.4883564782   36137.4561539582   5942.6881070516   33768.8392222184   4372.3262916846   11.3102789239   0.6087772469   11.9217258470   1.5977217348   11.6160023854   1.2089922411
100.0000000000   31504.0681356672   1706.9959971105   36246.5103810184   5975.4583745186   33875.2892583428   4394.3109880706   11.3477333208   0.6091097680   11.9575327097   1.6077255688   11.6526330152   1.2156883264
101.0000000000   31606.5550737574   1702.5019896342   36345.8437265511   6003.2481045758   33976.1994001542   4412.3406956967   11.3846512362   0.6077330323   11.9901644273   1.6161147864   11.6874078317   1.2208944347
102.0000000000   31711.2443081133   1696.4205671753   36445.4479528037   6028.0770624335   34078.3461304585   4428.0670620132   11.4223350401   0.6053937364   12.0229185942   1.6234743147   11.7226268171   1.2251878277
103.0000000000   31820.7725330254   1693.6203543234   36550.3801940186   6049.3240192063   34185.5763635220   4441.9967916425   11.4617376531   0.6038720938   12.0574885780   1.6295391152   11.7596131155   1.2288326236
104.0000000000   31936.4901187053   1698.5075352185   36658.6501716001   6066.2616389135   34297.5701451527   4454.4617025488   11.5033435151   0.6047404147   12.0932234735   1.6340759356   11.7982834943   1.2320542059
105.0000000000   32055.8616327309   1711.7481564356   36766.9870826858   6079.1214869117   34411.4243577084   4465.7474068566   11.5462561063   0.6084861249   12.1290448033   1.6372638742   11.8376504548   1.2350887332
106.0000000000   32170.6451597330   1732.3499322815   36873.7336201469   6087.7893334695   34522.1893899399   4475.6125422438   11.5875427741   0.6152712166   12.1644279097   1.6392220482   11.8759853419   1.2380645365
107.0000000000   32274.8001353032   1757.9910647685   36977.9132554517   6094.9658668491   34626.3566953774   4485.4844499709   11.6250594133   0.6247388644   12.1990257951   1.6409408767   11.9120426042   1.2415686871
108.0000000000   32369.6252995452   1784.7980519068   37081.3605115616   6107.0645959981   34725.4929055534   4498.9855559773   11.6592818279   0.6356195518   12.2333478404   1.6444980148   11.9463148342   1.2466727589
