# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   7135.2717551297   140.0159283225   7173.7866423235   290.8656938445   7154.5291987266   228.2622527266   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   13799.6801501416   275.3440324360   13877.7463380404   575.0193307398   13838.7132440910   450.8112503712   1.9339934082   0.0007912604   1.9344227486   0.0019166442   1.9342080784   0.0014662227
2.0000000000   19526.3698623758   400.5791657794   19645.9697047751   841.5968073412   19586.1697835754   659.0708816901   2.7365392114   0.0033023846   2.7382715859   0.0073307481   2.7374053986   0.0056853149
3.0000000000   24366.0592275362   517.4196704124   24526.7319487336   1086.8986571215   24446.3955881349   851.1967475802   3.4147459693   0.0078386142   3.4183216679   0.0155726823   3.4165338186   0.0123278609
4.0000000000   28577.8078005651   632.9966643958   28777.2993342749   1313.0373259645   28677.5535674200   1030.7162064585   4.0049171434   0.0145279137   4.0104940499   0.0252359634   4.0077055966   0.0205902176
5.0000000000   32409.5273528243   751.1488504792   32646.8068578346   1525.4840614922   32528.1671053294   1202.3573132482   4.5418048677   0.0232304958   4.5495443609   0.0352716224   4.5456746143   0.0298642200
6.0000000000   36018.1319003571   872.7260747579   36297.2878413470   1731.1436979594   36157.7098708520   1370.8590927858   5.0474089340   0.0333819385   5.0580488149   0.0452751490   5.0527288744   0.0397755763
7.0000000000   39480.7794772384   998.7152631672   39814.4350349966   1935.8163257165   39647.6072561175   1540.2624814936   5.5325400234   0.0443238046   5.5479292106   0.0552181560   5.5402346170   0.0500681756
8.0000000000   42830.8683441490   1130.9304962786   43238.9985164863   2143.3920213763   43034.9334303176   1713.6413196338   6.0018663150   0.0555993475   6.0248508613   0.0655318415   6.0133585881   0.0607688641
9.0000000000   46086.5362118988   1268.5324943050   46586.3593836566   2353.5600155493   46336.4477977777   1890.5580440574   6.4579271816   0.0668605188   6.4909720974   0.0765655621   6.4744496395   0.0718770279
10.0000000000   49255.9857008673   1407.9083187500   49852.6960489748   2564.4122318263   49554.3408749211   2068.6246552656   6.9018844517   0.0779070365   6.9457815304   0.0884758835   6.9238329911   0.0833591276
11.0000000000   52340.5617922695   1543.5948308006   53024.5994662472   2772.2387061272   52682.5806292583   2243.6568861375   7.3339483586   0.0884416413   7.3874362830   0.1009559344   7.3606923208   0.0949052807
12.0000000000   55337.2828066748   1672.2800822390   56092.8593066734   2976.7121690937   55715.0710566741   2414.2634499039   7.7537190497   0.0985098642   7.8146515931   0.1139056317   7.7841853214   0.1064863519
13.0000000000   58240.5981393626   1795.0008169309   59056.7488851304   3181.6483083267   58648.6735122465   2583.1099367488   8.1604238520   0.1087127289   8.2272971657   0.1276501073   8.1938605089   0.1185601267
14.0000000000   61046.6665691808   1915.4716911568   61922.9621508558   3390.9643451731   61484.8143600183   2753.8764487408   8.5535176097   0.1197563075   8.6262767271   0.1424597121   8.5898971684   0.1315985234
15.0000000000   63756.1902786228   2036.0168197983   64699.5632155861   3605.4548325778   64227.8767471045   2927.8549349532   8.9330905888   0.1318004319   9.0127074527   0.1582822855   8.9728990207   0.1456444914
16.0000000000   66374.4850623464   2161.2333810338   67390.8766611911   3824.0824003754   66882.6808617688   3106.0051458550   9.2998709822   0.1451753011   9.3872030373   0.1751201696   9.3435370098   0.1608461095
17.0000000000   68910.9356846110   2294.2083341084   69999.9034513722   4048.6504061046   69455.4195679916   3290.5137889959   9.6551643863   0.1600928174   9.7501740297   0.1933088875   9.7026692080   0.1774796272
18.0000000000   71375.1400353791   2435.4896586176   72526.7400858623   4281.5899459475   71950.9400606207   3483.0749591756   10.0003096251   0.1762814629   10.1016196190   0.2131661878   10.0509646220   0.1955952170
19.0000000000   73773.7764587167   2585.5177902234   74971.5669926563   4523.9134237622   74372.6717256865   3684.4738368766   10.3362335993   0.1934554308   10.4415561903   0.2347327483   10.3888948948   0.2150865719
20.0000000000   76108.4176416963   2744.4806574810   77338.5336041967   4775.3519400481   76723.4756229465   3894.6219476740   10.6631559839   0.2116766257   10.7705590549   0.2577977902   10.7168575194   0.2358672238
21.0000000000   78377.5916164203   2913.9072041563   79632.3415832999   5035.0219499407   79004.9665998601   4113.5326199520   10.9808733954   0.2314349937   11.0892860108   0.2821301780   11.0350797031   0.2580306122
22.0000000000   80580.6612118940   3095.1455015022   81855.9730773258   5299.8678530859   81218.3171446099   4339.8459036953   11.2893029509   0.2532147032   11.3981770932   0.3074342191   11.3437400221   0.2816322824
23.0000000000   82714.4803491186   3289.0046754812   84009.9129007600   5564.6921182153   83362.1966249393   4570.7411940442   11.5880077996   0.2772512017   11.6973447737   0.3332381199   11.6426762867   0.3065255890
24.0000000000   84773.0486300893   3491.7375674505   86096.9068556983   5824.7995241970   85434.9777428938   4802.1099912971   11.8761585092   0.3030086572   11.9872148316   0.3591033563   11.9316866704   0.3322419802
25.0000000000   86749.3233001199   3696.1382965151   88116.4884942969   6077.3230418836   87432.9058972084   5029.6766129829   12.1527856397   0.3294188221   12.2677439236   0.3846579063   12.2102647816   0.3581050581
26.0000000000   88639.4499064313   3900.7836385777   90064.9605696968   6321.2996358500   89352.2052380641   5252.3776559380   12.4173487958   0.3561640094   12.5384139591   0.4095864218   12.4778813774   0.3838058353
27.0000000000   90442.2557943460   4110.6419986048   91937.6473639364   6558.3540296501   91189.9515791412   5473.0880323142   12.6696683948   0.3838582080   12.7985438929   0.4337901062   12.7341061438   0.4095857542
28.0000000000   92156.9829129314   4330.5611893588   93730.0251766218   6793.2603496761   92943.5040447766   5696.5843447307   12.9096253261   0.4131489383   13.0474591948   0.4577445677   12.9785422604   0.4360172786
29.0000000000   93788.0975748999   4560.0008696337   95439.4323499577   7033.0781952208   94613.7649624288   5926.9636759116   13.1378472572   0.4439423443   13.2847429340   0.4824433457   13.2112950956   0.4635927021
30.0000000000   95344.4307657723   4797.0120833700   97069.5863328597   7283.3227262969   96207.0085493160   6166.7704215169   13.3555723266   0.4758353158   13.5108819021   0.5086875276   13.4332271144   0.4925354041
31.0000000000   96832.8184555579   5040.0098595874   98627.5706707103   7543.1468507201   97730.1945631341   6414.8563427510   13.5637556571   0.5084447422   13.7268677943   0.5363204090   13.6453117257   0.5225684821
32.0000000000   98260.1157518429   5284.5797009611   100124.4654736034   7806.4752591899   99192.2906127232   6665.8772336487   13.7633687942   0.5411576482   13.9342717391   0.5643132509   13.8488202667   0.5528566927
33.0000000000   99635.2991880080   5526.0717891608   101567.9042856132   8068.4507297406   100601.6017368106   6915.1054437807   13.9556870834   0.5734433098   14.1341786343   0.5918802924   14.0449328588   0.5827347210
34.0000000000   100966.7275343588   5759.3054533717   102956.7944246962   8328.2688141141   101961.7609795275   7159.9462548745   14.1418955346   0.6046127449   14.3264418245   0.6189941135   14.2341686795   0.6118456847
35.0000000000   102254.5111552949   5980.4659784054   104285.6769238313   8586.9275935751   103270.0940395631   7399.3681762758   14.3220108663   0.6340380932   14.5103147786   0.6461639615   14.4161628224   0.6401297403
36.0000000000   103494.8048600370   6188.6560324101   105553.8763636901   8844.1306644570   104524.3406118635   7632.7619738033   14.4954839752   0.6614364591   14.6857337763   0.6737304783   14.5906088757   0.6676117685
37.0000000000   104687.1117388548   6386.4304604877   106764.0180640042   9097.7277979119   105725.5649014295   7859.8710266627   14.6622318626   0.6870784541   14.8530979821   0.7015859602   14.7576649223   0.6943700965
38.0000000000   105834.9777098443   6579.1019487059   107921.0877644865   9345.7910961554   106878.0327371654   8081.7199179520   14.8227419437   0.7117592288   15.0131199154   0.7294354052   14.9179309295   0.7206515143
39.0000000000   106949.8498181990   6771.7186879789   109032.4222945537   9588.3404876542   107991.1360563764   8300.3749100963   14.9786150998   0.7362852344   15.1668216036   0.7571658393   15.0727183517   0.7467985185
40.0000000000   108045.7473145029   6970.3170964063   110105.3514516790   9826.5556472060   109075.5493830909   8518.9939638461   15.1318147562   0.7616510044   15.3152234564   0.7848992881   15.2235191063   0.7733625104
41.0000000000   109130.8100040800   7180.0995637389   111151.3996019452   10060.8024221325   110141.1048030126   8739.9535216839   15.2834785882   0.7886923303   15.4599378419   0.8126227560   15.3717082150   0.8007469436
42.0000000000   110203.3768265385   7405.8177079756   112182.1385855116   10291.7601828938   111192.7577060250   8965.6696232341   15.4333671881   0.8181275521   15.6025719969   0.8402783673   15.5179695925   0.8292769218
43.0000000000   111255.9998197056   7649.7006425136   113203.0373923105   10521.2912438209   112229.5186060081   9198.2468263625   15.5804277806   0.8502134689   15.7438632270   0.8679377525   15.6621455038   0.8591213200
44.0000000000   112282.8079768938   7911.2537664115   114212.7797633428   10750.6020810674   113247.7938701183   9438.3097337927   15.7238311899   0.8847795370   15.8836099317   0.8956974809   15.8037205608   0.8902552461
45.0000000000   113283.4984084329   8187.5442594573   115201.4978184293   10979.4499525714   114242.4981134311   9684.6322145343   15.8635376034   0.9213550608   16.0204400486   0.9236283547   15.9419888260   0.9224924080
46.0000000000   114261.8558304611   8472.0289326544   116156.7387993841   11209.6794352298   115209.2973149226   9935.5972964977   16.0000921319   0.9590250918   16.1526192492   0.9521734753   16.0763556905   0.9556054243
47.0000000000   115222.3401169281   8756.2116314135   117073.8266075986   11445.5584931099   116148.0833622633   10189.9963531225   16.1341445666   0.9966864342   16.2794766905   0.9819428793   16.2068106285   0.9893421214
48.0000000000   116165.3304209099   9037.9126265811   117955.3796005750   11689.4895352110   117060.3550107425   10448.1584559079   16.2657565698   1.0340818920   16.4013517814   1.0130628089   16.3335541756   1.0236263024
49.0000000000   117090.4278093941   9319.4123611657   118802.9162752754   11941.9743801574   117946.6720423347   10711.2604032808   16.3948688815   1.0715324873   16.5184370049   1.0454066464   16.4566529432   1.0585501707
50.0000000000   117996.0937264471   9603.4620155581   119615.8480737378   12202.5336818400   118805.9709000924   10980.1710128009   16.5212552054   1.1093564264   16.6306358378   1.0787728829   16.5759455216   1.0941715162
51.0000000000   118880.2987285780   9888.8555911513   120396.0967415378   12471.2313989789   119638.1977350579   11254.3564344995   16.6446263928   1.1473178185   16.7382011135   1.1130689815   16.6914137532   1.1303231251
