# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   9655.5885905738   657.0414882958   8310.1717808691   612.3922085892   8982.8801857215   635.1093348719   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   18752.7783922527   1313.6464798198   16097.9131360393   1216.2752497355   17425.3457641460   1265.8974202245   1.9419112642   0.0039947355   1.9368594519   0.0041203818   1.9393853581   0.0040580450
2.0000000000   26758.9606658001   1974.8741893578   22892.9582018087   1805.0958157066   24825.9594338044   1891.8904523879   2.7702910441   0.0161995899   2.7537389574   0.0158299382   2.7620150007   0.0160158305
3.0000000000   33763.7194958138   2645.1879100385   28809.6168252829   2381.5121256489   31286.6681605483   2516.8054239479   3.4944285295   0.0362865444   3.4644537076   0.0338514510   3.4794411186   0.0350901271
4.0000000000   40095.5652579153   3325.2274046258   34160.3432453445   2948.6711005830   37127.9542516299   3142.5943543422   4.1484936695   0.0619933697   4.1067829012   0.0555137417   4.1276382854   0.0588428135
5.0000000000   46058.2299061129   4014.4920970102   39208.4111619919   3510.8787549446   42633.3205340524   3771.1017242232   4.7640883498   0.0912288764   4.7125385920   0.0791167763   4.7383134709   0.0853878568
6.0000000000   51840.8368259007   4710.4965771649   44105.2819144895   4077.5986475286   47973.0593701951   4405.4278301777   5.3609063419   0.1224740868   5.2999556704   0.1045202210   5.3304310062   0.1138516107
7.0000000000   57532.6668112158   5408.4055352848   48920.0007354786   4655.0891698735   53226.3337733472   5045.8252850040   5.9482643927   0.1545332169   5.8773263251   0.1318953453   5.9127953589   0.1436608806
8.0000000000   63167.7700388211   6102.1576467684   53681.0010984877   5242.9236092780   58424.3855686544   5688.7861586958   6.5297375502   0.1864491693   6.4480911202   0.1610223125   6.4889143352   0.1742002839
9.0000000000   68756.1584916553   6795.1462138278   58402.1993582556   5834.0171584643   63579.1789249554   6332.8417109759   7.1063373943   0.2185053172   7.0140047395   0.1910084028   7.0601710669   0.2052179130
