# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   2859.4264765178   23.6618976422   3084.7654998811   74.4138840140   2972.0959881995   55.2146336313   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   5359.1842115435   47.8818712789   5794.2541275850   148.4121182873   5576.7191695642   110.2697384863   1.8742037834   0.0012831864   1.8782615873   0.0029393977   1.8762326854   0.0022678874
2.0000000000   7194.8420776325   73.9372926700   7797.2903489673   220.7831009692   7496.0662132999   164.6388485761   2.5161324123   0.0052894879   2.5273628260   0.0112407821   2.5217476191   0.0087844711
3.0000000000   8464.2882818604   103.7913893957   9180.2108421166   290.2954728432   8822.2495619885   217.9955436080   2.9600168213   0.0124730092   2.9753311085   0.0240947127   2.9676739649   0.0191850351
4.0000000000   9385.0753568084   137.7778088604   10168.4762100977   355.6861964489   9776.7757834531   269.7178108307   3.2819458214   0.0221666146   3.2953297780   0.0393967263   3.2886377997   0.0319645182
5.0000000000   10134.7811241265   174.4049957653   10956.3764617964   416.1984089126   10545.5787929615   319.0910670399   3.5440304330   0.0330813056   3.5503991240   0.0551577454   3.5472147785   0.0454793891
6.0000000000   10811.7994980988   212.9567267213   11658.3007094140   471.5281349122   11235.0501037564   365.8478846936   3.7806822364   0.0445085620   3.7776429919   0.0700252457   3.7791626141   0.0586708919
7.0000000000   11457.6451465578   253.7172660765   12327.1468873836   524.9899368885   11892.3960169707   412.3026103116   4.0064194738   0.0565702018   3.9941839443   0.0845252560   4.0003017090   0.0719190747
8.0000000000   12084.5093607388   296.5602792076   12980.7429811984   581.3928256678   12532.6261709686   461.5006050601   4.2255113491   0.0695117645   4.2057739516   0.1005148818   4.2156426503   0.0864150648
9.0000000000   12693.9975825071   339.1581253529   13620.1888445704   644.1329346995   13157.0932135387   514.7501683135   4.4385307357   0.0826241337   4.4127556140   0.1193219118   4.4256431748   0.1026266683
10.0000000000   13286.5216081325   378.4998407883   14242.5746066786   713.1763432601   13764.5481074055   570.9127017604   4.6456303883   0.0947348084   4.6141755153   0.1403659705   4.6299029518   0.1197440805
11.0000000000   13865.4708346714   413.7141633082   14846.8430208999   786.8923381532   14356.1569277856   628.6330252087   4.8479938172   0.1053245714   4.8096798498   0.1624770040   4.8288368335   0.1369161097
12.0000000000   14434.3970036105   445.0921165288   15432.9498728745   864.4501780283   14933.6734382425   687.5249459072   5.0468590823   0.1143823241   4.9992471337   0.1852257349   5.0230531080   0.1539348709
13.0000000000   14995.3441813948   474.6633425022   16002.0820952019   943.7857841276   15498.7131382983   747.0063236134   5.2429353778   0.1226783271   5.1832717505   0.2079785249   5.2131035642   0.1707410887
14.0000000000   15549.5619780877   505.9840099598   16557.5312465886   1022.1705782551   16053.5466123382   806.4900834435   5.4366528020   0.1316683898   5.3628330596   0.2298273166   5.3997429308   0.1872927659
