# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   5962.8451847707   225.9149307475   6497.6285812221   184.1346429674   6230.2368829964   206.0862958512   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   11558.3874044086   454.9451751598   12599.1238974656   368.1710764089   12078.7556509371   413.8387692721   1.9382674761   0.0030280741   1.9389727272   0.0019418658   1.9386201016   0.0025436269
2.0000000000   16454.1997241291   690.8526427532   17924.2662239455   549.3304760622   17189.2329740373   624.1159130842   2.7589250726   0.0117621802   2.7583586619   0.0071956404   2.7586418673   0.0097500288
3.0000000000   20716.9833359762   932.0598147051   22519.1912028117   724.0638145664   21618.0872693940   834.5669253429   3.4731899086   0.0252724662   3.4652856157   0.0148390307   3.4692377622   0.0207231076
4.0000000000   24550.0628981116   1171.3860469211   26591.4138982210   892.7384197363   25570.7383981663   1041.4238227049   4.1152749868   0.0410140238   4.0917194205   0.0238877294   4.1034972037   0.0335616877
5.0000000000   28131.6276673340   1400.8305544443   30339.6476442453   1057.2114169187   29235.6376557897   1240.9718414066   4.7151798584   0.0566974057   4.6682632719   0.0338458970   4.6917215651   0.0466912227
6.0000000000   31566.5258985291   1618.9025553232   33896.2934594627   1219.1829742114   32731.4096789959   1433.0479071265   5.2905333372   0.0715744105   5.2153063430   0.0443735774   5.2529198401   0.0595479245
7.0000000000   34902.3910652663   1831.9119871037   37331.2105434505   1380.8115236632   36116.8008043584   1622.1192916021   5.8492902867   0.0864488580   5.7435982185   0.0552817452   5.7964442526   0.0725585157
8.0000000000   38155.1881982705   2048.7653067232   40673.4212908464   1545.2875705199   39414.3047445584   1814.5733599990   6.3940624214   0.1026049536   6.2575914921   0.0668714475   6.3258269568   0.0866012904
9.0000000000   41329.2291269672   2273.3821918608   43929.8294053111   1714.3651027511   42629.5292661391   2013.3696004212   6.9255433325   0.1206344467   6.7583405232   0.0795738988   6.8419419278   0.1021877564
10.0000000000   44426.6186929867   2501.8458263485   47099.0073027196   1886.6577444589   45762.8129978531   2215.7064317666   7.4441196447   0.1399296162   7.2456352426   0.0934511406   7.3448774436   0.1189819591
11.0000000000   47448.1138736032   2728.8319556637   50177.0467800579   2058.8988789164   48812.5803268306   2417.1872533851   7.9499630324   0.1596548309   7.7188945693   0.1081372639   7.8344288009   0.1363512613
12.0000000000   50391.6408295943   2952.0471577245   53161.2896157446   2228.2063307401   51776.4652226694   2615.2902203942   8.4427448919   0.1794299498   8.1777257268   0.1230794029   8.3102353094   0.1538565018
