# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   3893.3503331354   75.9646327334   3852.8891956462   54.0082524528   3873.1197643908   65.9071952040   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   7306.7345867529   149.6260209239   7231.5823468211   106.8688851873   7269.1584667870   130.0171234082   1.8766781366   0.0019677764   1.8768997392   0.0015407836   1.8767889379   0.0017672235
2.0000000000   9785.0158242697   220.1412651953   9691.3858696387   155.0574485838   9738.2008469542   190.4008784159   2.5130851861   0.0080628243   2.5152693454   0.0053119654   2.5141772658   0.0068273755
3.0000000000   11410.0537665909   289.7661067156   11320.4897334623   193.8795460091   11365.2717500266   246.5295874351   2.9302458539   0.0184296574   2.9380266995   0.0100466089   2.9341362767   0.0148422812
4.0000000000   12467.7400463927   359.1050802865   12405.2013709159   220.2495435324   12436.4707086543   297.8811173218   3.2016219045   0.0315019325   3.2195188106   0.0146986512   3.2105703576   0.0245807048
5.0000000000   13221.2884259729   427.3606863479   13200.8850152105   236.3512862950   13211.0867205917   345.3252718591   3.3948498651   0.0454482559   3.4260391934   0.0198888253   3.4104445293   0.0350792626
6.0000000000   13833.4722401379   496.5348269174   13861.7964574006   249.3052955930   13847.6343487692   392.8740031821   3.5517407967   0.0600061696   3.5976129316   0.0271693922   3.5746768642   0.0465774423
7.0000000000   14382.0198803059   572.7074118645   14460.6028164126   265.8163795956   14421.3113483592   446.4594759134   3.6922335848   0.0765552958   3.7530776134   0.0363913124   3.7226555991   0.0599376381
8.0000000000   14897.9995000195   659.5177620913   15024.7345401962   289.4873582825   14961.3670201078   509.2968727173   3.8242946453   0.0960388920   3.8995195803   0.0458806713   3.8619071128   0.0752612276
9.0000000000   15395.6910804195   754.2701281710   15562.0758387120   318.1230904607   15478.8834595657   578.8461483569   3.9516139587   0.1177440310   4.0389593954   0.0535686872   3.9952866771   0.0914692874
10.0000000000   15882.7273604825   851.9402582643   16075.2370041282   345.7491189695   15978.9821823053   650.1325468394   4.0761889699   0.1404560672   4.1720755066   0.0580702931   4.1241322383   0.1074710793
11.0000000000   16362.8424029956   949.4456753752   16569.2355826467   370.7378300722   16466.0389928212   720.7265879428   4.1990014231   0.1634409430   4.3001856937   0.0599743884   4.2495935584   0.1231053799
12.0000000000   16836.0495786584   1045.9110171151   17051.5458159552   395.2161204992   16943.7976973068   790.6091441493   4.3200562874   0.1863737796   4.4252447369   0.0609265301   4.3726505121   0.1386492477
13.0000000000   17298.1621019718   1140.9731379253   17525.8163968105   421.8236083165   17411.9892493911   860.1612808073   4.4382712042   0.2089719946   4.5482061589   0.0624248517   4.4932386815   0.1542176330
14.0000000000   17745.2850827635   1234.8044169067   17989.2572036379   452.0966644229   17867.2711432007   929.8207735889   4.5526365805   0.2311535423   4.6683501078   0.0655505756   4.6104933442   0.1698953178
15.0000000000   18175.0577340385   1327.0144789239   18438.7714991006   484.9999131953   18306.9146165695   999.0476322661   4.6625444226   0.2527995077   4.7848832519   0.0705038918   4.7237138373   0.1855780023
16.0000000000   18585.5544727904   1417.8395007239   18876.6478514803   518.4224792595   18731.1011621353   1067.4808468573   4.7675036574   0.2741160597   4.8984048561   0.0764951600   4.8329542567   0.2012350910
17.0000000000   18976.9150762090   1509.0767516580   19307.2959587022   552.8747206267   19142.1055174556   1136.4380975448   4.8675449204   0.2956521793   5.0100523953   0.0832403226   4.9387986578   0.2171855916
18.0000000000   19354.2834939970   1604.7717908077   19735.1646276730   589.8157056260   19544.7240608350   1208.9613449518   4.9639682699   0.3184352745   5.1209712375   0.0908366523   5.0424697537   0.2341498681
19.0000000000   19724.6411283167   1703.3299294078   20162.5329453241   630.2733886304   19943.5870368204   1284.2463534759   5.0585776862   0.3420217970   5.2317503732   0.0995651124   5.1451640297   0.2518850147
20.0000000000   20090.1158330936   1798.6854656649   20588.2018146532   674.7986650831   20339.1588238734   1358.4223648763   5.1519529964   0.3648313876   5.3420764071   0.1095367604   5.2470147017   0.2693512978
21.0000000000   20450.0252210845   1888.9815160178   21007.8928284549   723.7580898504   20728.9590247697   1430.3980111285   5.2439302441   0.3864314365   5.4508356197   0.1207740419   5.3473829319   0.2862827486
22.0000000000   20804.2921027067   1974.5920329332   21418.0873171676   776.1562480780   21111.1897099371   1500.2386840023   5.3344918598   0.4069986985   5.5571198244   0.1330661072   5.4458058421   0.3027825370
23.0000000000   21151.5116214455   2053.7934118800   21815.2809516268   829.0747373645   21483.3962865361   1566.1149860112   5.4232899055   0.4261275974   5.6600356321   0.1458029046   5.5416627688   0.3184675935
24.0000000000   21490.6892127630   2122.4419109635   22195.3371917618   879.2426958515   21843.0132022624   1624.4733582953   5.5100885380   0.4427127766   5.7585274777   0.1582700626   5.6343080078   0.3324485037
25.0000000000   21818.2954558178   2180.7038753699   22560.1196473754   925.0204442553   22189.2075515966   1674.9824199590   5.5939727642   0.4567254375   5.8530825572   0.1699081409   5.7235276607   0.3445772059
26.0000000000   22130.5595804021   2232.0380711693   22914.5889843380   966.7932889129   22522.5742823701   1719.9830252994   5.6739483053   0.4689859619   5.9449819438   0.1806490101   5.8094651245   0.3553743781
27.0000000000   22425.1019396369   2278.8461332965   23261.3135685466   1007.4167268810   22843.2077540917   1761.8212396324   5.7493871610   0.4800795464   6.0348831539   0.1912703597   5.8921351575   0.3654180629
28.0000000000   22700.8890383578   2322.9978181519   23600.9785012442   1051.2317967909   23150.9337698010   1802.9707642836   5.8200169897   0.4905320837   6.1229492234   0.2029071678   5.9714831066   0.3753618547
29.0000000000   22963.4830635726   2369.5740265675   23935.1129551188   1100.0140227632   23449.2980093457   1847.2833997060   5.8872461488   0.5016885084   6.2095705023   0.2159666482   6.0484083255   0.3862207611
30.0000000000   23220.6914398628   2423.6677544556   24263.2847021091   1150.9205922018   23741.9880709860   1897.2063137074   5.9530572208   0.5148248314   6.2946378878   0.2295130816   6.1238475543   0.3985729931
31.0000000000   23477.6537131397   2490.0787091510   24583.5187093486   1200.0236482038   24030.5862112441   1954.5522164956   6.0187440677   0.5311055169   6.3776458629   0.2423943413   6.1981949653   0.4128123586
32.0000000000   23736.0849167822   2566.3747292458   24893.4264811279   1247.0501697159   24314.7556989550   2017.5992387860   6.0847583310   0.5498707228   6.4579775399   0.2546233360   6.2713679354   0.4284803701
33.0000000000   23996.6178294803   2643.9895902801   25190.7692884373   1290.6883141716   24593.6935589588   2080.4515468821   6.1513078433   0.5689592869   6.5350693655   0.2661637145   6.3431886044   0.4441608904
34.0000000000   24258.6701107458   2715.1533983315   25477.7419035593   1327.2990252734   24868.2060071526   2137.0283899568   6.2182873434   0.5864528283   6.6095181057   0.2763706326   6.4139027246   0.4584253736
35.0000000000   24519.2715444122   2779.9817130809   25759.3564414281   1357.4162189166   25139.3139929201   2187.5645266417   6.2849252694   0.6023114829   6.6826366791   0.2856373434   6.4837809743   0.4713638798
36.0000000000   24770.8407051139   2843.1498096769   26040.7915911741   1388.1914552709   25405.8161481440   2237.2501376414   6.3492385545   0.6176468651   6.7557495139   0.2958400435   6.5524940342   0.4842566372
37.0000000000   25006.2518689525   2905.8444948583   26323.2847422129   1425.8130172127   25664.7683055827   2288.7633110865   6.4093905899   0.6327876204   6.8291476496   0.3082963128   6.6192691198   0.4977282336
38.0000000000   25225.5471738672   2969.8911315479   26606.4380866626   1469.3842988324   25915.9926302649   2343.0048603131   6.4653858247   0.6482410735   6.9027147471   0.3224014993   6.6840502859   0.5119371134
39.0000000000   25432.4207661856   3036.5525109840   26887.7043629959   1517.0056474517   26160.0625645907   2400.2038753368   6.5181715934   0.6643906207   6.9757790917   0.3373450447   6.7469753426   0.5268854601
40.0000000000   25629.2988620396   3104.4818220560   27164.4628223849   1566.6833845547   26396.8808422123   2458.8924550411   6.5683926541   0.6810401839   7.0476485984   0.3523197100   6.8080206263   0.5421922676
41.0000000000   25819.8656698089   3171.7676904088   27436.6841614599   1616.2505263671   26628.2749156344   2517.1785838418   6.6170208754   0.6978072921   7.1183124798   0.3666548866   6.8676666776   0.5573916140
42.0000000000   26011.4420142838   3235.9542909233   27706.1796366988   1662.9749003885   26858.8108254913   2572.6334457388   6.6659606131   0.7140878032   7.1882484251   0.3797086222   6.9271045191   0.5718828676
43.0000000000   26208.9788332367   3296.1804381559   27972.0391952802   1707.2466139522   27090.5090142585   2624.8329929477   6.7164847792   0.7295646300   7.2572238583   0.3917098629   6.9868543187   0.5855344422
44.0000000000   26410.5395916992   3357.6353968135   28230.6479117032   1753.3396959007   27320.5937517012   2678.4244946569   6.7680534548   0.7454375795   7.3242889994   0.4037883271   7.0461712271   0.5994673461
45.0000000000   26613.8646460540   3428.7947643462   28483.1639801684   1805.2877000328   27548.5143131112   2740.0453660384   6.8200202870   0.7637119402   7.3897334489   0.4169817279   7.1048768680   0.6152762343
46.0000000000   26816.7678416004   3512.5650110698   28732.4549118235   1862.5608788902   27774.6113767120   2811.3382920385   6.8717803688   0.7848911579   7.4543022094   0.4311482937   7.1630412891   0.6332230969
47.0000000000   27015.2652721936   3603.7009240143   28978.0495622749   1920.8447530047   27996.6574172343   2887.5859220885   6.9223243308   0.8075559915   7.5178885325   0.4452641978   7.2201064317   0.6520762552
48.0000000000   27207.2934239895   3696.0981702194   29216.3936609255   1977.2665688821   28211.8435424575   2964.0111983862   6.9711638076   0.8302728432   7.5795919708   0.4588281823   7.2753778892   0.6707742895
49.0000000000   27395.4720336697   3785.1740857412   29445.6309719650   2030.8551683901   28420.5515028174   3037.4261780613   7.0190194583   0.8520789418   7.6389517664   0.4718706534   7.3289856123   0.6887308751
50.0000000000   27580.6434365795   3870.6858700696   29667.9412337935   2080.4009578156   28624.2923351865   3107.2718942858   7.0661319939   0.8731047345   7.6965309018   0.4839980801   7.3813314478   0.7058916415
51.0000000000   27756.3919268048   3952.1161938791   29888.2205408662   2126.3362558704   28822.3062338355   3173.3679492733   7.1108612091   0.8932563579   7.7535759764   0.4949947611   7.4322185928   0.7221242048
52.0000000000   27918.2572764540   4027.8637434141   30109.7757434930   2170.1683972526   29014.0165099735   3235.2215695330   7.1520523144   0.9119478747   7.8109344272   0.5051616174   7.4814933708   0.7371693109
53.0000000000   28068.4858026874   4096.7191237420   30333.2797313797   2212.5193454853   29200.8827670336   3292.2901932378   7.1902705910   0.9286779994   7.8687969924   0.5149015099   7.5295337917   0.7508549765
54.0000000000   28212.3098924372   4160.3051329789   30560.4184951252   2254.4925254126   29386.3641937812   3345.9584087845   7.2268488234   0.9438339847   7.9276217423   0.5247977126   7.5772352829   0.7636213819
55.0000000000   28354.7414759896   4223.3516005533   30792.3750563515   2297.9468744396   29573.5582661706   3399.7984189980   7.2630667152   0.9587816536   7.9877145540   0.5353712377   7.6253906346   0.7764935999
56.0000000000   28498.1246371342   4289.2650214200   31025.6965666877   2341.9148629497   29761.9106019109   3455.6012247713   7.2995330561   0.9746025304   8.0481791606   0.5463462318   7.6738561084   0.7900456624
57.0000000000   28642.8266028556   4355.4602602654   31255.3663750308   2382.0820367861   29949.0964889432   3510.2954938816   7.3363741129   0.9907818655   8.1077225572   0.5565861521   7.7220483350   0.8035660675
58.0000000000   28790.0283333063   4418.3800578717   31478.8508102590   2415.7324720174   30134.4395717827   3560.7475136661   7.3739132214   1.0064128804   8.1656874459   0.5652928824   7.7698003337   0.8162177799
59.0000000000   28941.2663593300   4478.4911327746   31698.1403348000   2443.1101321785   30319.7033470650   3607.3307267490   7.4125380958   1.0215658010   8.2225830175   0.5724263002   7.8175605566   0.8280303602
60.0000000000   29095.2405176022   4538.6418523630   31912.9370049792   2463.9252350072   30504.0887612907   3651.7254433847   7.4518853687   1.0368630260   8.2783273458   0.5778424496   7.8651063573   0.8393410604
61.0000000000   29249.6737336211   4601.3661003570   32118.3520989130   2479.8387158468   30684.0129162670   3696.0905052587   7.4913382048   1.0528235537   8.3316438346   0.5819353575   7.9114910197   0.8506133656
62.0000000000   29405.3133876880   4665.6170644475   32310.0367892715   2493.0902487551   30857.6750884797   3740.5535406208   7.5310766176   1.0690561487   8.3813820940   0.5850868515   7.9562293558   0.8617446469
63.0000000000   29564.0101346862   4728.0117639517   32486.9970076473   2506.1041960001   31025.5035711668   3783.8243538301   7.5715807271   1.0846086350   8.4272603321   0.5876987994   7.9994205296   0.8722860110
64.0000000000   29725.2070088013   4785.3928342787   32653.4471122270   2521.0355435461   31189.3270605142   3824.6310142411   7.6127282898   1.0987124788   8.4703653616   0.5903148025   8.0415468257   0.8819412331
65.0000000000   29881.9242606677   4836.2582884718   32815.0889624405   2540.0379512492   31348.5066115541   3862.7184097859   7.6527570467   1.1111874236   8.5121945640   0.5937951568   8.0824758054   0.8908788298
66.0000000000   30028.0556424605   4881.5436128534   32976.9536560417   2563.2890979238   31502.5046492511   3898.7125467085   7.6901153074   1.1224754558   8.5540746952   0.5984532292   8.1220950013   0.8994713493
67.0000000000   30161.3576096093   4922.9431743004   33141.6609123407   2589.3002892339   31651.5092609750   3933.1822666397   7.7242173715   1.1330227364   8.5966940843   0.6039530753   8.1604557279   0.9078821064
68.0000000000   30284.0422249656   4962.6073094043   33312.7857721220   2618.2460260865   31798.4139985438   3967.5359834834   7.7555962910   1.1431872898   8.6409733088   0.6102467797   8.1982847999   0.9163182612
69.0000000000   30400.7107432473   5000.1167194698   33491.4120331760   2651.2188174480   31946.0613882116   4001.8825836293   7.7854159546   1.1526815210   8.6871910558   0.6176258351   8.2363035052   0.9246989675
70.0000000000   30518.1977621679   5033.9957439234   33678.5614767786   2687.5939177955   32098.3796194732   4035.1130230026   7.8154498086   1.1611650156   8.7356185779   0.6259774377   8.2755341932   0.9327786302
71.0000000000   30643.3338664327   5061.9220941318   33872.5015310213   2726.3676369732   32257.9176987270   4065.4726526564   7.8474870714   1.1681671521   8.7858004117   0.6349238393   8.3166437416   0.9401443445
72.0000000000   30780.4154056938   5085.2620320033   34069.3384867922   2768.3957540065   32424.8769462430   4094.1363548943   7.8826337971   1.1740441563   8.8367172946   0.6446070787   8.3596755458   0.9470739060
73.0000000000   30929.7386346082   5108.2659475303   34263.4368610916   2814.1486112518   32596.5877478499   4123.9431007780   7.9209378925   1.1797982828   8.8869187284   0.6553216944   8.4039283105   0.9542983054
74.0000000000   31084.4827915719   5136.0422198756   34449.8185046002   2864.0798842857   32767.1506480860   4158.2378039210   7.9606174440   1.1867238662   8.9351258458   0.6673699248   8.4478716449   0.9627294924
75.0000000000   31235.5537827338   5171.0958704254   34628.5514561767   2917.8713204155   32932.0526194553   4198.4643349464   7.9993212323   1.1955156349   8.9813617291   0.6807168673   8.4903414807   0.9727880259
76.0000000000   31377.1340704687   5214.1453914909   34803.3227465499   2973.1400896903   33090.2284085093   4244.2239665532   8.0355425316   1.2064118343   9.0265869393   0.6947034785   8.5310647354   0.9843887537
77.0000000000   31505.0824883152   5263.3471740902   34976.0489050974   3026.9663734079   33240.5656967063   4293.3290638353   8.0682197241   1.2189734020   9.0713097783   0.7086104095   8.5697647512   0.9970017220
78.0000000000   31616.1657396748   5315.3803852618   35149.2201868371   3077.6772114056   33382.6929632560   4343.1190207978   8.0965325630   1.2322919791   9.1161895348   0.7220865915   8.6063610489   1.0099387525
79.0000000000   31710.8066179468   5367.6845437300   35326.8726810045   3126.2162055542   33518.8396494756   4392.3379380956   8.1206022740   1.2456507738   9.1622559681   0.7351748389   8.6414291211   1.0227726761
80.0000000000   31795.0831806738   5416.1271483848   35508.7820863713   3174.7329137751   33651.9326335226   4439.2207852999   8.1420151866   1.2579377893   9.2094129003   0.7480554166   8.6757140435   1.0348899429
81.0000000000   31875.4543902268   5458.5689004818   35693.2359897146   3224.5430040446   33784.3451899707   4482.9483616388   8.1624502076   1.2686098360   9.2571882413   0.7608142059   8.7098192245   1.0459945439
82.0000000000   31958.5508031080   5499.5274391554   35878.1683577655   3273.3872299048   33918.3595804367   4525.4759976674   8.1836024205   1.2789182878   9.3050517631   0.7729031027   8.7443270918   1.0566482842
83.0000000000   32050.1626681808   5544.3352387815   36063.6005939397   3317.7607280879   34056.8816310603   4568.7629337074   8.2069524401   1.2903970638   9.3530284197   0.7835535483   8.7799904299   1.0674925633
84.0000000000   32151.8341268528   5594.5125036608   36251.7057852238   3355.7032218839   34201.7699560383   4612.9878748475   8.2328945889   1.3034841114   9.4016960536   0.7923561319   8.8172953213   1.0786331787
85.0000000000   32257.4952419713   5648.1760082618   36440.6803551961   3386.5021660752   34349.0877985837   4656.7311035283   8.2598698486   1.3176354698   9.4505987462   0.7992418079   8.8552342974   1.0897134253
86.0000000000   32359.4052573451   5704.1837892488   36626.1956153252   3412.0863775287   34492.8004363352   4700.0024547465   8.2858770660   1.3324310857   9.4986208050   0.8048536269   8.8922489355   1.1007183924
87.0000000000   32457.9794251244   5761.7506389332   36806.9272569349   3435.7841993182   34632.4533410297   4743.5421095175   8.3110000397   1.3474681716   9.5454133187   0.8100902415   8.9282066792   1.1117366309
88.0000000000   32562.2133768753   5818.6156163584   36981.8726369965   3459.8468592345   34772.0430069359   4786.7957957430   8.3375403653   1.3619839663   9.5907016398   0.8154402984   8.9641210026   1.1224845667
89.0000000000   32679.6242509104   5874.1171263242   37147.8518355304   3485.3054160203   34913.7380432204   4829.7311445212   8.3674277047   1.3757587211   9.6336472236   0.8210569782   9.0005374642   1.1328827433
90.0000000000   32811.4020577175   5928.9690175984   37302.9134235122   3512.3326521758   35057.1577406148   4872.8407664925   8.4009677440   1.3890253639   9.6737388252   0.8269175008   9.0373532846   1.1430625562
91.0000000000   32953.6391438231   5981.8934895230   37449.2788647956   3541.1278222840   35201.4590043094   4915.4163594629   8.4371677214   1.4015523174   9.7115506406   0.8330223773   9.0743591810   1.1528822966
92.0000000000   33098.5768321072   6030.6074448162   37593.5738772650   3571.8408222091   35346.0753546861   4956.1211149785   8.4740431932   1.4127977700   9.7488037320   0.8394113653   9.1114234626   1.1620260279
93.0000000000   33239.1228936078   6074.3297733192   37743.8247375883   3605.6955320778   35491.4738155980   4994.9235462156   8.5097767820   1.4225755401   9.7875803833   0.8464258215   9.1486785826   1.1705037033
94.0000000000   33371.1044786211   6116.9174373228   37900.8576683967   3647.7407862410   35635.9810735089   5036.0049532655   8.5432955818   1.4319616499   9.8280820079   0.8554131754   9.1856887948   1.1794587461
95.0000000000   33493.8111719225   6162.3456656718   38058.6597235879   3701.4012709714   35776.2354477552   5083.0539772844   8.5744297392   1.4421661146   9.8687430880   0.8673592417   9.2215864136   1.1899905790
96.0000000000   33608.9503810887   6210.0018522598   38211.9229991605   3764.5439218769   35910.4366901246   5134.9739018232   8.6036389564   1.4531544314   9.9082068888   0.8819013854   9.2559229226   1.2019583718
97.0000000000   33718.8255211972   6257.3775083255   38359.5270177587   3828.6597423922   36039.1762694779   5187.1672763037   8.6315220276   1.4642613442   9.9462266220   0.8970425149   9.2888743248   1.2142377357
98.0000000000   33824.6395377637   6301.6732122726   38500.7994992005   3881.9241922644   36162.7195184821   5233.5657399502   8.6583881702   1.4746865007   9.9826681157   0.9097651874   9.3205281429   1.2252291564
99.0000000000   33928.1317159314   6341.2160796681   38636.7870748170   3919.9197334359   36282.4593953742   5271.4700077693   8.6846779828   1.4838767332   10.0178105436   0.9188628096   9.3512442632   1.2341391782
100.0000000000   34030.3399465475   6375.5689515379   38769.6312322211   3948.2964739617   36399.9855893843   5302.6844381932   8.7106554408   1.4916365476   10.0521887654   0.9257446654   9.3814221031   1.2413667419
101.0000000000   34131.0896706044   6407.3867202848   38898.8427115150   3976.1003828341   36514.9661910597   5332.1655468325   8.7362631058   1.4986207939   10.0856363782   0.9326096875   9.4109497420   1.2481236143
102.0000000000   34229.9724891376   6440.2760421420   39022.9397616367   4011.6956721880   36626.4561253871   5365.2053858748   8.7613742354   1.5057441329   10.1177267360   0.9414414605   9.4395504857   1.2557024762
103.0000000000   34328.2414367463   6476.8942984183   39142.0767739528   4057.7508612887   36735.1591053496   5404.4195712940   8.7862949198   1.5137085006   10.1484854529   0.9528624393   9.4673901864   1.2647648503
104.0000000000   34427.2602935095   6518.3573692867   39257.0641102572   4111.9725914054   36842.1622018834   5449.6468411359   8.8113656097   1.5228172797   10.1781389804   0.9663675080   9.4947522950   1.2753114576
105.0000000000   34526.8180248757   6563.7400801581   39367.3329433513   4168.5487042191   36947.0754841135   5498.1579705989   8.8365375671   1.5328772278   10.2065646919   0.9805184656   9.5215511295   1.2866874245
106.0000000000   34623.6142942400   6613.5608811422   39473.2658263358   4221.4134369924   37048.4400602879   5547.9509250981   8.8609720898   1.5441372507   10.2338771583   0.9937134880   9.5474246241   1.2984271919
107.0000000000   34714.3962442943   6669.6690506097   39574.6961963841   4268.2666651108   37144.5462203392   5599.2225160801   8.8838402607   1.5571803913   10.2600312653   1.0052813944   9.5719357630   1.3106108219
108.0000000000   34799.2608444014   6732.4834734425   39671.7587359543   4310.9153556762   37235.5097901778   5652.8897443688   8.9051740829   1.5721434164   10.2850566551   1.0157041605   9.5951153690   1.3234972352
109.0000000000   34882.5210707509   6799.2814518895   39763.4511160361   4352.0058663541   37322.9860933935   5708.3352793432   8.9261013104   1.5882862489   10.3086869021   1.0257042212   9.6173941062   1.3369222786
110.0000000000   34967.4859255085   6866.9801954027   39852.2268610671   4394.4451950751   37409.8563932878   5764.8315489948   8.9474890117   1.6047419893   10.3315525878   1.0360692282   9.6395207997   1.3506732206
111.0000000000   35052.9579622260   6935.0514485553   39942.9480453996   4439.2396129651   37497.9530038128   5822.4473778398   8.9690222838   1.6213031878   10.3549201143   1.0471204462   9.6619711990   1.3647500239
112.0000000000   35134.6744466669   7004.5396430505   40040.3818824830   4483.1118923529   37587.5281645749   5880.5555796380   8.9895833727   1.6381808278   10.3800382040   1.0580044881   9.6848107883   1.3789506738
113.0000000000   35211.0291140630   7076.7197218913   40146.2367392528   4519.6984926260   37678.6329266579   5937.4925888986   9.0087390927   1.6556967530   10.4073599715   1.0669676380   9.7080495321   1.3927942559
114.0000000000   35282.5323529406   7151.0763118140   40256.5008425740   4547.2490911080   37769.5165977573   5992.3020081589   9.0266165841   1.6737209683   10.4358444122   1.0735060319   9.7312304981   1.4060151280
115.0000000000   35353.4626076274   7222.7237300861   40369.8093817711   4573.6399932696   37861.6359946992   6045.0773720931   9.0443425919   1.6910003019   10.4651085242   1.0796102588   9.7547255580   1.4186332035
116.0000000000   35431.6920395218   7287.6857527232   40487.5775116464   4608.9351264459   37959.6347755841   6097.2389911431   9.0639689657   1.7065185119   10.4954878195   1.0878678298   9.7797283926   1.4310244314
117.0000000000   35524.6101354187   7347.9966456530   40610.0763542284   4657.5447337945   38067.3432448235   6151.6574047904   9.0874007728   1.7208784966   10.5270455374   1.0994704545   9.8072231551   1.4439975901
118.0000000000   35635.3405111133   7408.8119440565   40735.6208807814   4720.1030324266   38185.4806959474   6211.6771913517   9.1154376401   1.7355457607   10.5593545150   1.1146915719   9.8373960776   1.4585363190
119.0000000000   35759.1149406288   7473.6392976013   40863.6274159772   4794.4268104232   38311.3711783030   6278.6070426152   9.1468431904   1.7514766442   10.5922783019   1.1330444906   9.8695607462   1.4750356357
120.0000000000   35886.5668980184   7540.4841530521   40991.4259481597   4873.2340502298   38438.9964230891   6348.5160222980   9.1792061032   1.7680718736   10.6251537360   1.1527212787   9.9021799196   1.4924551076
121.0000000000   36011.5587303585   7601.6346461095   41119.8081634380   4947.0676489884   38565.6834468983   6413.2023052684   9.2109770665   1.7832519368   10.6582210938   1.1713224907   9.9345990802   1.5086390966
