# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   10095.2642597809   1014.0395870098   9123.8363232093   293.0375618125   9609.5502914951   746.3736653500   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   19659.4378014060   2027.0780413537   17752.1106907321   582.3100171454   18705.7742460691   1491.3300006716   1.9471303570   0.0052114315   1.9456635154   0.0013325014   1.9463969362   0.0038035890
2.0000000000   28173.3437309314   3045.1167244772   25431.1227873517   862.9446836988   26802.2332591416   2238.0135603716   2.7896725380   0.0214237419   2.7872465418   0.0050611115   2.7884595399   0.0155658531
3.0000000000   35712.9929325736   4073.0703011210   32258.1259802155   1140.7737261709   33985.5594563946   2990.9251388321   3.5351695061   0.0483660915   3.5354035719   0.0114828543   3.5352865390   0.0351506384
4.0000000000   42591.9462232831   5112.9461328194   38523.1750104923   1423.0235655394   40557.5606168877   3752.8132264471   4.2148289002   0.0831026067   4.2219291605   0.0203685962   4.2183790303   0.0605017477
5.0000000000   49107.4664989793   6165.0221566044   44478.9503276916   1705.4580297931   46793.2084133355   4523.0567806965   4.8582444086   0.1226882200   4.8745395991   0.0303638536   4.8663920038   0.0893710326
6.0000000000   55446.3451818568   7228.5981402123   50275.4928620706   1982.7724240093   52860.9190219637   5300.1895040693   5.4840162252   0.1651852343   5.5096976543   0.0403584681   5.4968569398   0.1202392772
7.0000000000   61697.5144889614   8292.7625889543   55985.9339245982   2256.7853003891   58841.7242067798   6077.1288964779   6.1010528767   0.2086179614   6.1354196725   0.0502942910   6.1182362746   0.1517415064
8.0000000000   67893.5022823405   9338.8764398828   61640.7460436517   2534.0759152551   64767.1241629961   6842.3736343346   6.7126859902   0.2508054317   6.7550356721   0.0607854758   6.7338608312   0.1824804628
9.0000000000   74041.5879490449   10348.1601670802   67253.0745105882   2825.3161995834   70647.3312298166   7585.0784594220   7.3197341924   0.2898051853   7.3699683668   0.0729560039   7.3448512796   0.2113168521
10.0000000000   80142.5212925754   11315.9986561085   72826.1295839024   3141.6439030736   76484.3254382389   8304.2685409002   7.9222952091   0.3251502496   7.9805501784   0.0880159297   7.9514226938   0.2381905631
11.0000000000   86197.2649042271   12253.0677831535   78360.2123161627   3489.5410931876   82278.7386101949   9008.7337384230   8.5204114932   0.3578938736   8.5868027053   0.1066750137   8.5536070993   0.2640715654
12.0000000000   92211.9006586378   13174.7063383468   83857.9384120507   3863.8854625853   88034.9195353443   9708.3082452519   9.1146118509   0.3895023449   9.1890218050   0.1283623331   9.1518168280   0.2899904871
13.0000000000   98191.7677442993   14093.1779334856   89322.6954329085   4249.3813727532   93757.2315886039   10408.5279054242   9.7053665239   0.4211432175   9.7876058919   0.1513886437   9.7464862079   0.3164491516
14.0000000000   104140.9338054061   15017.9263556708   94755.3314491685   4634.9717610648   99448.1326272873   11113.5294855014   10.2930332606   0.4537160238   10.3826674365   0.1745384457   10.3378503486   0.3437454722
15.0000000000   110058.7842293292   15955.3581938708   100153.5159710384   5030.6288565986   105106.1501001838   11829.6382401906   10.8775188369   0.4878647411   10.9739333172   0.1989134975   10.9257260770   0.3725443498
16.0000000000   115930.6306963736   16907.0361098872   105511.2264045061   5458.8194334531   110720.9285504399   12562.7739697105   11.4573530905   0.5238918346   11.5607035346   0.2269987079   11.5090283126   0.4037270537
17.0000000000   121741.8953147200   17870.7149769903   110826.1837256448   5919.9553008971   116284.0395201824   13311.8053725527   12.0310958931   0.5617195668   12.1427274466   0.2588472625   12.0869116699   0.4373389858
18.0000000000   127484.8598751643   18841.1399849685   116096.2611579468   6408.4478247299   121790.5605165555   14072.2556730515   12.5980051056   0.6009019610   12.7197816736   0.2938538046   12.6588933896   0.4729869053
19.0000000000   133159.6830747513   19813.9971310398   121318.1651851509   6917.6597689479   127238.9241299511   14839.9544977028   13.1581180984   0.6410079342   13.2915167381   0.3313020975   13.2248174182   0.5102216438
20.0000000000   138770.9712290576   20785.9321750144   126490.9552576369   7435.4356010094   132630.9632433472   15609.9436091399   13.7119102416   0.6816574781   13.8578509060   0.3698624833   13.7848805738   0.5483863483
21.0000000000   144324.6583769905   21756.4073968234   131614.8406580155   7944.8168131350   137969.7495175030   16377.7497998172   14.2599750086   0.7227377155   14.4188369911   0.4076745620   14.3394059999   0.5867488193
22.0000000000   149831.2641098787   22720.3757194748   136686.2566774779   8442.4483549404   143258.7603936783   17138.9965730193   14.8033849515   0.7636409665   14.9740899974   0.4443829753   14.8887374745   0.6247494516
23.0000000000   155299.8811286137   23672.9591676462   141703.1738507244   8933.1517060239   148501.5274896690   17891.4811454486   15.3430697176   0.8037906566   15.5233788839   0.4805235924   15.4332243008   0.6621866589
24.0000000000   160733.9248850705   24618.6219442055   146670.5299267258   9419.0801462920   153702.2274058982   18638.6106943891   15.8793470228   0.8435970796   16.0672413300   0.5163151502   15.9732941764   0.6993702049
25.0000000000   166132.4754394604   25562.2991914094   151597.2997594563   9900.1742813306   158864.8875994584   19383.5573457486   16.4121006024   0.8835607712   16.6066616190   0.5517195259   16.5093811107   0.7365711342
26.0000000000   171492.5937148043   26504.8420111405   156490.4567777478   10384.2633765180   163991.5252462761   20128.8297711071   16.9410335905   0.9237958577   17.1423906669   0.5875707128   17.0417121287   0.7741570026
27.0000000000   176810.1463059070   27452.4994023107   161352.7767303971   10882.8769804497   169081.4615181521   20881.5317302811   17.4657032248   0.9649658163   17.6747125573   0.6251232601   17.5702078910   0.8130000360
28.0000000000   182078.7479320417   28412.8584343196   166174.5376358595   11399.5241575093   174126.6427839506   21647.6289166542   17.9854358589   1.0078898602   18.2025550023   0.6647962114   18.0939954306   0.8537552263
29.0000000000   187295.5642414884   29394.0515963699   170943.6224203120   11928.3218287442   179119.5933309002   22430.9510598654   18.4999086449   1.0534059932   18.7245996090   0.7059871073   18.6122541270   0.8966833282
30.0000000000   192462.9495186565   30388.9446554549   175656.0942994628   12457.2842005769   184059.5219090597   23223.6074601498   19.0093916445   1.1007803973   19.2404357783   0.7473954563   19.1249137114   0.9408287440
31.0000000000   197578.2123370890   31383.5409782340   180312.8280294653   12981.3383238356   188945.5201832771   24015.0139393087   19.5136868887   1.1486465026   19.7501683692   0.7884618799   19.6319276290   0.9851550446
32.0000000000   202633.6063448517   32374.7022160193   184912.9080088221   13502.4999929013   193773.2571768369   24803.6171720399   20.0120388540   1.1967693257   20.2536934273   0.8294106542   20.1328661407   1.0296064423
33.0000000000   207623.7823181629   33368.1349447818   189455.8557713311   14018.6342747897   198539.8190447470   25592.5236800073   20.5038864452   1.2457704997   20.7509622439   0.8700093483   20.6274243445   1.0744441363
34.0000000000   212550.5701882925   34370.3310473227   193939.8309822192   14530.1006925223   203245.2005852559   26386.0141214754   20.9893793870   1.2962780474   21.2417723755   0.9103038692   21.1155758812   1.1200423899
35.0000000000   217423.1467796626   35382.7896239123   198369.0994832681   15048.1958254658   207896.1231314653   27188.1407894287   21.4694238155   1.3483494453   21.7265717192   0.9515179706   21.5979977673   1.1669260206
36.0000000000   222256.3538945376   36401.3830791870   202754.6005552365   15582.8575915762   212505.4772248871   27998.9833815182   21.9455179984   1.4014253324   22.2065423710   0.9947029120   22.0760301847   1.2152009804
37.0000000000   227061.4474237155   37422.5969534116   207103.1076037005   16133.9596939291   217082.2775137080   28816.2750728023   22.4188001296   1.4550432511   22.6824273221   1.0398209875   22.5506137258   1.2645905560
38.0000000000   231837.4719761895   38440.3591055590   211417.8092330230   16693.2448324427   221627.6406046062   29633.8120328807   22.8892054533   1.5086082215   23.1545907749   1.0859554749   23.0218981141   1.3143816150
39.0000000000   236569.4645561614   39456.6879648044   215699.7039835110   17254.0249099651   226134.5842698362   30451.0393972491   23.3552341822   1.5624708313   23.6231540065   1.1323694432   23.4891940943   1.3644734616
40.0000000000   241241.7769985282   40481.4549793351   219946.1466783445   17810.9930537836   230593.9618384364   31272.8290278147   23.8152790477   1.6177703554   24.0878362935   1.1784902596   23.9515576706   1.4152773959
41.0000000000   245848.4756717730   41523.4307060810   224151.0294946789   18356.4827927415   234999.7525832259   32102.6148321514   24.2687054515   1.6754393166   24.5479813554   1.2234987338   24.4083434034   1.4669775144
42.0000000000   250392.1443427093   42579.6704932943   228302.9514462088   18884.9729394093   239347.5478944591   32936.8376004721   24.7157853535   1.7351587111   25.0023486877   1.2668295694   24.8590670206   1.5191499120
43.0000000000   254882.4247221237   43640.5772944481   232400.2752623344   19397.9701912147   243641.3499922291   33769.6700763566   25.1575266559   1.7958766494   25.4507560946   1.3086537566   25.3041413753   1.5712650309
44.0000000000   259333.4332385327   44695.1426467504   236455.0876826734   19897.2425392655   247894.2604606031   34594.4795948698   25.5953898151   1.8563559751   25.8945258896   1.3491226028   25.7449578523   1.6226813156
45.0000000000   263754.2045005028   45732.5799720948   240480.4894321021   20384.3533896798   252117.3469663024   35404.7365052997   26.0303282388   1.9154324421   26.3350919393   1.3883614095   26.1827100890   1.6727864245
46.0000000000   268145.5490358575   46742.4327073182   244483.7705352829   20869.6058947324   256314.6597855702   36196.6536132805   26.4624749068   1.9720569040   26.7732355209   1.4274743402   26.6178552138   1.7214371067
47.0000000000   272505.4091357273   47719.1778252416   248468.4986012942   21363.5902512618   260486.9538685107   36969.7370881971   26.8916525726   2.0257000738   27.2093292073   1.4676101464   27.0504908900   1.7688047279
48.0000000000   276831.9953469400   48670.1961162691   252440.0548831081   21864.2546316684   264636.0251150241   37728.1964887969   27.3176461755   2.0771146679   27.6439667178   1.5085248725   27.4808064467   1.8152207351
49.0000000000   281129.7228908508   49616.2791682582   256404.9128484346   22368.9056882453   268767.3178696427   38484.6924126473   27.7407913270   2.1283265138   28.0778626732   1.5499003674   27.9093270001   1.8617149215
50.0000000000   285402.7750130489   50577.3912836464   260361.8074842063   22876.9348772900   272882.2912486276   39251.9213443039   28.1614046799   2.1812813955   28.5108794243   1.5916743540   28.3361420521   1.9093736899
