# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   6012.3000103602   222.3040928150   6076.5925518705   39.6805377991   6044.4462811154   159.6772600628   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   11657.8108353628   443.0327050007   11764.8924092948   85.5011080068   11711.3516223288   319.0520468283   1.9389396698   0.0022010007   1.9360936680   0.0020472380   1.9375166689   0.0021255103
2.0000000000   16598.4981533649   657.7447560348   16693.8700371714   146.8693883576   16646.1840952681   476.5494629773   2.7605612584   0.0085899595   2.7472156617   0.0083958294   2.7538884600   0.0084934491
3.0000000000   20898.5675605747   868.2454699280   20914.0459161548   225.8378268958   20906.3067383647   634.3709167780   3.4755505097   0.0190314564   3.4416818425   0.0188304417   3.4586161761   0.0189312158
4.0000000000   24766.7780460658   1081.7279404816   24631.5796351416   322.8792805178   24699.1788406037   798.2438120669   4.1186325566   0.0327219207   4.0534203176   0.0327506379   4.0860264371   0.0327362825
5.0000000000   28389.2745937067   1302.8616007306   28044.7301764040   439.3617949099   28217.0023850553   972.2363749328   4.7207735659   0.0485679772   4.6150568807   0.0499880240   4.6679152233   0.0492831155
6.0000000000   31873.2954633402   1530.1020705651   31283.6342269636   572.9561410065   31578.4648451519   1155.3118812391   5.2998290964   0.0654287866   5.1480072215   0.0698768282   5.2239181590   0.0676893538
7.0000000000   35262.9720263621   1752.2589429022   34416.0184032952   710.3714747397   34839.4952148287   1336.9814948429   5.8631975532   0.0818131362   5.6634229605   0.0901533376   5.7633102568   0.0860843004
8.0000000000   38569.4788465860   1963.3341082158   37469.5389031625   831.1046525079   38019.5088748742   1507.5502916825   6.4127716515   0.0973085098   6.1658665834   0.1074590127   6.2893191174   0.1025094764
9.0000000000   41789.6892991124   2172.5488544476   40452.7930633980   917.5085854451   41121.2411812552   1667.6016504739   6.9479975763   0.1139339814   6.6567633991   0.1189061814   6.8023804877   0.1164466232
10.0000000000   44921.3204487169   2395.4766378690   43365.7796103583   963.6137375061   44143.5500295376   1825.7682982359   7.4684350226   0.1346091990   7.1361177165   0.1235296640   7.3022763695   0.1291882625
11.0000000000   47967.2780582453   2639.9733059383   46208.8623695671   973.8204306304   47088.0702139062   1989.6966209927   7.9745369194   0.1604138159   7.6039859233   0.1218721078   7.7892614213   0.1424524534
12.0000000000   50935.3514339736   2906.3941142806   48989.5882511393   961.6189963711   49962.4698425565   2164.6983440778   8.4675933890   0.1906112555   8.0616019010   0.1159817974   8.2645976450   0.1577726656
13.0000000000   53831.6327569003   3185.7219292703   51718.2822852878   943.7067903759   52774.9575210941   2349.4048945249   8.9486521775   0.2232677309   8.5106567640   0.1086406175   8.7296544708   0.1755722977
14.0000000000   56657.7492704188   3471.2191709563   54398.0697837470   931.7578636893   55527.9095270829   2541.4105580722   9.4180157062   0.2574700273   8.9516610071   0.1021115934   9.1848383566   0.1958540176
15.0000000000   59409.6466687071   3760.8732992931   57024.1905975214   931.9689994531   58216.9186331143   2739.7750080324   9.8750265693   0.2933583780   9.3838281674   0.0976842672   9.6294273683   0.2186336594
16.0000000000   62080.4652472507   4056.6124729963   59588.6584937002   944.6683632428   60834.5618704755   2945.2082330950   10.3185318807   0.3310371784   9.8058433804   0.0955795236   10.0621876306   0.2436401638
17.0000000000   64669.4745039649   4358.5850583852   62084.2680896459   965.2309886648   63376.8712968054   3156.6544451886   10.7484013024   0.3701203129   10.2165228424   0.0950009903   10.4824620724   0.2701982922
18.0000000000   67183.3381770741   4667.4856410089   64502.4081490449   992.0271699925   65842.8731630595   3374.1324896206   11.1657350983   0.4104429605   10.6144496568   0.0956367556   10.8900923776   0.2980015208
19.0000000000   69629.7095934534   4984.4988012538   66838.2450684399   1028.9188311679   68233.9773309467   3598.8819278237   11.5717992093   0.4520768115   10.9988256200   0.0982458988   11.2853124147   0.3271281860
20.0000000000   72012.8662110563   5309.4080600582   69098.3588553325   1075.6098682566   70555.6125331944   3830.5841941473   11.9673149832   0.4953283036   11.3707343850   0.1029261172   11.6690246841   0.3577316829
21.0000000000   74333.8552563402   5638.7557690394   71295.8267683653   1124.1985355214   72814.8410123527   4065.6726977306   12.3524859219   0.5401673900   11.7323339058   0.1083153829   12.0424099139   0.3895593866
22.0000000000   76591.5639149832   5973.7109576934   73442.9782251677   1165.2519839159   75017.2710700755   4303.6632530953   12.7271353289   0.5871531661   12.0856598760   0.1127084087   12.4063976024   0.4227599945
23.0000000000   78785.7868589225   6318.5922999870   75545.4166791468   1197.0813412813   77165.6017690346   4547.3955398172   13.0912165000   0.6370018947   12.4316354327   0.1157605795   12.7614259663   0.4578055950
24.0000000000   80916.2269861095   6675.6310449952   77601.0063262558   1221.9371646458   79258.6166561827   4798.8113259039   13.4446609946   0.6896335564   12.7699074354   0.1178586635   13.1072842150   0.4947146181
