# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   8895.9972527559   944.3758568244   10789.8003611083   379.9776745176   9842.8988069321   719.8016365932   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   17306.5526927402   1888.2051888192   21061.2491475784   743.1905800057   19183.9009201593   1434.8608074118   1.9449477293   0.0060753386   1.9519558675   0.0009578815   1.9484517984   0.0043489812
2.0000000000   24775.9010199594   2830.6163736898   30302.4340441332   1075.0972818144   27539.1675320463   2141.0538550403   2.7831596237   0.0238901090   2.8084167155   0.0039505155   2.7957881696   0.0171222645
3.0000000000   31385.0363460127   3772.2867813304   38574.5207048340   1384.4486465085   34979.7785254234   2841.3769210912   3.5238149059   0.0525077418   3.5750369595   0.0087923765   3.5494259327   0.0376455099
4.0000000000   37418.9376004535   4713.0277445527   46176.4925040941   1689.8331534933   41797.7150522738   3540.3507317474   4.1992305862   0.0884137263   4.2795061083   0.0149947216   4.2393683473   0.0634106800
5.0000000000   43139.2113123762   5650.7206769009   53395.6907383945   1998.7871752526   48267.4510253853   4238.2658210824   4.8390923164   0.1282664624   4.9484593308   0.0220454388   4.8937758236   0.0920279489
6.0000000000   48704.6378790610   6587.2176298826   60414.3268147545   2305.9600837735   54559.4823469078   4935.0221889771   5.4613946964   0.1704794551   5.5988102280   0.0289900921   5.5301024622   0.1222776964
7.0000000000   54193.7891513245   7523.9118235129   67320.6643158854   2603.3565100437   60757.2267336050   5629.6853485068   6.0750453119   0.2141711282   6.2387635567   0.0347595132   6.1569044343   0.1534234270
8.0000000000   59643.2776937449   8464.0239631738   74152.3067393652   2889.1311612467   66897.7922165551   6324.0327527642   6.6841712800   0.2589470056   6.8718114653   0.0390640449   6.7779913726   0.1851749866
9.0000000000   65067.3965040722   9406.8741099516   80927.6340087057   3165.6376191988   72997.5152563890   7018.2099589769   7.2903990533   0.3041804103   7.4996550177   0.0423355321   7.3950270355   0.2171612526
10.0000000000   70467.4123585288   10344.8537889880   87656.9067604626   3434.3890044833   79062.1595594957   7707.4972510425   7.8939412683   0.3486447237   8.1232473155   0.0455802314   8.0085942919   0.2486269302
11.0000000000   75835.9773236787   11272.3531330047   94346.0163303277   3694.1115121035   85090.9968270032   8387.8604250135   8.4940158008   0.3916236396   8.7431424751   0.0495486186   8.6185791379   0.2791273372
12.0000000000   81168.2722393304   12191.1689425196   100995.4622165241   3938.0088534157   91081.8672279272   9059.0428278774   9.0900594722   0.4337088989   9.3594059032   0.0542351244   9.2247326877   0.3090670297
13.0000000000   86467.1097547907   13111.9536590958   107603.1777890042   4168.6714907310   97035.1437718974   9728.8527267070   9.6822899472   0.4766563898   9.9718399800   0.0599951951   9.8270649636   0.3397062977
14.0000000000   91734.5606950219   14039.3889198348   114168.4962243041   4394.7839166737   102951.5284596630   10402.3691271901   10.2708966357   0.5213295097   10.5803611005   0.0672842883   10.4256288681   0.3716931753
15.0000000000   96965.7632406081   14970.0531387433   120697.5195807556   4629.0819378899   108831.6414106819   11079.9569169852   10.8553616006   0.5674311848   11.1855035967   0.0764648359   11.0204325987   0.4048611000
16.0000000000   102150.5181007212   15902.4180506413   127200.7640619844   4883.3068606093   114675.6410813528   11762.9415061080   11.4345450031   0.6148021914   11.7882122707   0.0873741475   11.6113786369   0.4390990641
17.0000000000   107284.8332174824   16835.7295447975   133676.9622910739   5163.7219889376   120480.8977542782   12452.0242146530   12.0080021905   0.6630911259   12.3883498853   0.0993669641   12.1981760379   0.4741116086
18.0000000000   112366.8810480653   17766.9777495975   140116.0329863868   5468.1163384573   126241.4570172261   13144.6908416592   12.5755517469   0.7115158568   12.9849842766   0.1120485022   12.7802680117   0.5093180152
19.0000000000   117395.2647823805   18687.9600508155   146509.7559065166   5788.5121778513   131952.5103444486   13833.7761311583   13.1371099387   0.7588934722   13.5773757546   0.1256687838   13.3572428467   0.5439264405
20.0000000000   122371.8771655338   19589.9206213536   152855.2983834208   6107.5659183606   137613.5877744773   14509.7786233639   13.6929743245   0.8042542819   14.1653089357   0.1400529771   13.9291416301   0.5772520188
21.0000000000   127302.2570056448   20473.4797945348   159155.2720700546   6410.3238006672   143228.7645378497   15169.9641747537   14.2437685705   0.8478074931   14.7490621017   0.1542913586   14.4964153361   0.6093370860
22.0000000000   132182.6983008158   21351.4345386663   165412.8497142638   6692.2678854185   148797.7740075398   15821.9816443636   14.7889513513   0.8912171467   15.3289320531   0.1671630605   15.0589417022   0.6411752847
23.0000000000   137003.7546907266   22238.9735616657   171621.2413061946   6956.5881574911   154312.4979984606   16476.7421517333   15.3273073494   0.9364827487   15.9042725739   0.1780163471   15.6157899617   0.6740510954
24.0000000000   141767.6417303231   23145.7838019588   177769.8713232622   7215.4521636134   159768.7565267927   17143.3669057804   15.8589969142   0.9848967454   16.4740677384   0.1870293025   16.1665323263   0.7088728938
25.0000000000   146484.0750502148   24072.7480745545   183854.5886394141   7484.8675246922   165169.3318448144   17825.8301591140   16.3851149377   1.0366239551   17.0378951373   0.1952365088   16.7115050375   0.7458909165
26.0000000000   151169.4616206601   25012.3246434103   189878.3082127334   7773.5723145222   170523.8849166968   18520.8640537700   16.9075944633   1.0905777909   17.5960109784   0.2038693684   17.2518027208   0.7845134280
