# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   4397.7493770340   179.5299954886   4106.0296338841   125.2282225827   4251.8895054591   154.7790796771   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   8243.3160552239   357.5859977052   7678.8396951468   248.2321216314   7961.0778751853   307.8042656986   1.8742445305   0.0048700343   1.8700335238   0.0038291052   1.8721390271   0.0043805982
2.0000000000   11013.9433854848   528.8170052509   10235.0605185254   358.7538722563   10624.5019520051   451.8582553752   2.5037176631   0.0181670904   2.4923516376   0.0130125902   2.4980346503   0.0158014347
3.0000000000   12802.8815816043   688.3611568154   11897.3851468783   446.3827297260   12350.1333642413   580.1287027935   2.9097038243   0.0377987167   2.8969484140   0.0240524209   2.9033261191   0.0316801352
4.0000000000   13934.5504135531   832.6068329422   12993.6254687179   506.7704438085   13464.0879411355   689.2207269736   3.1661247927   0.0598938544   3.1637668565   0.0333480393   3.1649458246   0.0484735264
5.0000000000   14705.4982808029   959.0476764903   13805.6351409114   540.9936507780   14255.5667108571   778.6034215066   3.3405473194   0.0813971591   3.3615057518   0.0396569428   3.3510265356   0.0640240994
6.0000000000   15302.8914978483   1066.5475996816   14497.7585414668   561.4728641128   14900.3250196575   852.2838610233   3.4756307031   0.1010268892   3.5301372631   0.0451434239   3.5028839831   0.0782443642
7.0000000000   15825.6873989794   1156.5772252859   15142.1607625901   588.1325055975   15483.9240807848   917.4886163301   3.5939207826   0.1185394639   3.6871136460   0.0532529682   3.6405172143   0.0918898338
8.0000000000   16322.2966780584   1231.2409377139   15764.4896356439   632.3360239344   16043.3931568512   978.7244489303   3.7064144335   0.1333240957   3.8386105828   0.0651347930   3.7725125081   0.1049234382
9.0000000000   16812.9242259161   1292.8530026211   16374.0391758784   696.6490135334   16593.4817008973   1038.4576867748   3.8176661569   0.1448806186   3.9868597013   0.0798068315   3.9022629291   0.1169605147
10.0000000000   17300.2867881360   1346.6559582145   16981.5663607809   772.9623200815   17140.9265744585   1097.9419424679   3.9282345647   0.1541481432   4.1345126766   0.0950870497   4.0313736206   0.1280687259
11.0000000000   17779.6019811733   1400.9442801477   17589.7895524987   850.0828771409   17684.6957668360   1158.7246812955   4.0369591740   0.1633024291   4.2822848928   0.1086994075   4.1596220334   0.1387141747
12.0000000000   18248.0857251257   1467.8417280452   18189.8260060372   922.2992050178   18218.9558655815   1225.8048707211   4.1430995088   0.1752655901   4.4280575007   0.1203384356   4.2855785048   0.1503319097
13.0000000000   18704.2614170375   1553.2836682579   18772.7285836160   989.1454161684   18738.4950003268   1302.1326369467   4.2462596127   0.1912570782   4.5696970316   0.1315575823   4.4079783222   0.1641442467
14.0000000000   19144.6654691672   1654.8704402148   19337.7571813151   1051.4400010435   19241.2113252411   1386.3841909246   4.3456611741   0.2105144419   4.7070665731   0.1438765550   4.5263638736   0.1803008504
15.0000000000   19566.4090542698   1765.4078805996   19885.6716700044   1113.5013680559   19726.0403621371   1475.8980793987   4.4406873393   0.2309508828   4.8403345795   0.1581856832   4.6405109594   0.1979406737
16.0000000000   19967.7399808491   1879.0363115781   20413.3389001013   1176.7223754780   20190.5394404752   1567.7137827390   4.5309838620   0.2512349509   4.9686899330   0.1733993170   4.7498368975   0.2158544923
17.0000000000   20348.3695748686   1991.3067759591   20915.7293489042   1233.3765419785   20632.0494618864   1656.2790179018   4.6165447538   0.2708553869   5.0908946705   0.1862215431   4.8537197121   0.2324232171
18.0000000000   20710.6867857902   2100.6780990977   21390.9712985389   1274.9849778150   21050.8290421646   1737.5895904503   4.6979583757   0.2900560412   5.2065146295   0.1942334275   4.9522365026   0.2468391494
19.0000000000   21058.7566524409   2210.5760074011   21847.1220311879   1302.6236111926   21452.9393418144   1814.3145478298   4.7761415722   0.3099774310   5.3175156569   0.1979528945   5.0468286145   0.2600686026
20.0000000000   21400.9955630791   2322.2435150266   22299.6074690560   1324.7070893817   21850.3015160675   1890.4581211628   4.8530073642   0.3308949465   5.4276391138   0.2000055244   5.1403232390   0.2733986791
21.0000000000   21744.0895726444   2432.7842865211   22762.7460662629   1349.2615763752   22253.4178194537   1967.0976318203   4.9301001548   0.3519019673   5.5403429459   0.2025655478   5.2352215504   0.2871130402
22.0000000000   22086.8459514472   2534.2617834114   23240.1759956821   1381.2744942083   22663.5109735646   2040.8824090586   5.0072186164   0.3710819936   5.6564948651   0.2070616935   5.3318567408   0.3004799418
23.0000000000   22427.1271606489   2616.3571436887   23722.4459755910   1418.5415985611   23074.7865681200   2104.4696446111   5.0839712343   0.3860952166   5.7738123952   0.2132565601   5.4288918148   0.3118877015
24.0000000000   22770.2057230034   2672.8542218390   24193.0844584696   1457.4486531217   23481.6450907365   2152.7083253066   5.1616139059   0.3954583304   5.8883083854   0.2205470354   5.5249611456   0.3201782987
25.0000000000   23124.2092733499   2706.6896445221   24646.5532589076   1500.5058929105   23885.3812661287   2188.3426110212   5.2419673639   0.3997461219   5.9986348805   0.2299538770   5.6203011222   0.3260948846
26.0000000000   23487.1202725679   2723.5567655391   25086.4118869875   1550.6153669505   24286.7660797777   2216.0967342760   5.3245134759   0.4002589915   6.1056488433   0.2422068094   5.7150811596   0.3308106700
27.0000000000   23851.5635344841   2730.2131264681   25518.4427820964   1606.2827382397   24685.0031582903   2239.8892775208   5.4074989107   0.3985227810   6.2107604309   0.2565902735   5.8091296708   0.3351559156
28.0000000000   24213.5626035376   2734.2686863005   25942.7853607740   1661.1699206737   25078.1739821558   2262.2677509785   5.4899333061   0.3961505144   6.3140304157   0.2712969338   5.9019818609   0.3395123388
29.0000000000   24575.4684477500   2741.9170968200   26351.0555355806   1714.6648748134   25463.2619916653   2286.7209054400   5.5722915495   0.3944586495   6.4134162074   0.2861162937   5.9928538785   0.3445723144
30.0000000000   24938.2134467983   2759.1322304471   26742.4796645405   1771.0602318866   25840.3465556694   2318.3469337075   5.6547362702   0.3948606192   6.5087088542   0.3020839141   6.0817225622   0.3515462983
31.0000000000   25295.3887010832   2793.3322144265   27126.4690851209   1830.5587771530   26210.9288931021   2361.5302556568   5.7357508953   0.3991945993   6.6021823103   0.3187500152   6.1689666028   0.3612187013
32.0000000000   25634.9364324276   2847.1245889439   27512.4996132457   1890.9685718616   26573.7180228366   2416.8037326950   5.8125792037   0.4082233178   6.6961173466   0.3347246913   6.2543482751   0.3732873532
33.0000000000   25944.2106623264   2918.6205512389   27899.0270881594   1950.7067644692   26921.6188752429   2482.2976053508   5.8823602465   0.4215950674   6.7901472349   0.3497717550   6.3362537407   0.3873517016
34.0000000000   26222.8158369907   3002.9585983651   28277.9536093335   2012.2539630402   27250.3847231621   2556.0640010831   5.9450423534   0.4381303507   6.8823204072   0.3652733010   6.4136813803   0.4033502130
35.0000000000   26484.4790066085   3090.5823571583   28644.7825132380   2074.9167481715   27564.6307599233   2632.2023875664   6.0038334674   0.4555086333   6.9715613754   0.3814153621   6.4876974214   0.4200986750
36.0000000000   26744.1026104437   3167.5827043827   28997.7754579548   2136.5545890034   27870.9390341992   2701.7073954165   6.0622557329   0.4704853535   7.0574568680   0.3976713041   6.5598563005   0.4356024185
37.0000000000   27004.4102526009   3223.5366542173   29336.0436818578   2200.6325041763   28170.2269672293   2759.8887640193   6.1210290604   0.4807201145   7.1397362388   0.4141376215   6.6303826496   0.4486656874
38.0000000000   27260.4107228284   3258.3812380373   29661.9687218484   2269.4012513849   28461.1897223384   2807.7776204840   6.1790222530   0.4862539466   7.2189269665   0.4305916578   6.6989746098   0.4592668485
39.0000000000   27512.6928279774   3281.6961019047   29983.8425692410   2341.9008274797   28748.2676986092   2850.7918891956   6.2362867129   0.4892539029   7.2970443982   0.4466809215   6.7666655555   0.4684512926
40.0000000000   27770.2167878228   3310.6274253235   30313.6995443859   2413.8972955696   29041.9581661044   2897.1670734411   6.2947082175   0.4935300064   7.3770564985   0.4617106937   6.8358823580   0.4778852539
41.0000000000   28036.5466892400   3354.7254358950   30658.6084879592   2483.1882355175   29347.5775885996   2951.3053521496   6.3550060900   0.5011995888   7.4607347036   0.4758325615   6.9078703968   0.4886807007
42.0000000000   28307.5245907240   3410.1735403520   31016.0743855433   2546.9811427546   29661.7994881336   3009.6840795061   6.4162621829   0.5114138638   7.5475202872   0.4889974084   6.9818912350   0.5003311931
43.0000000000   28580.6670517184   3468.9835359311   31376.1434938124   2603.8124336802   29978.4052727654   3067.0577075064   6.4779805332   0.5223762702   7.6349818012   0.5006595974   7.0564811672   0.5116331695
44.0000000000   28857.4229699857   3525.5553225203   31725.7637752226   2655.2345511407   30291.5933726042   3120.8821552345   6.5405399611   0.5328025076   7.7198908622   0.5105715186   7.1302154117   0.5218054176
45.0000000000   29142.9954695618   3580.2187900125   32059.3242039449   2707.3702056572   30601.1598367533   3173.9423446905   6.6051206670   0.5427131895   7.8008497946   0.5202116478   7.2029852308   0.5315814917
46.0000000000   29436.1310100224   3639.4239308250   32376.7497585212   2766.7362875360   30906.4403842718   3232.6642443216   6.6713786308   0.5535670427   7.8778670039   0.5320917850   7.2746228173   0.5429356032
