# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   7538.4562775965   268.2379417369   7204.6682026543   513.7768423473   7371.5622401254   409.8281573536   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   14546.0163821281   541.5320292654   13902.0744832595   1013.4939366545   14224.0454326938   812.5351987316   1.9294898385   0.0031914099   1.9294267446   0.0031044986   1.9294582915   0.0031482542
2.0000000000   20492.8111741497   824.4840559539   19607.5077436997   1480.7919044902   20050.1594589247   1198.4403662523   2.7180977065   0.0126782472   2.7208819365   0.0115882975   2.7194898215   0.0121455052
3.0000000000   25426.6831753376   1115.8544628662   24398.6611350348   1921.3099724937   24912.6721551862   1571.0765724022   3.3721806242   0.0280795791   3.3851485377   0.0254603847   3.3786645810   0.0268019957
4.0000000000   29631.9187131616   1409.0030122210   28567.6869484547   2354.4333759963   29099.8028308082   1940.1863326049   3.9295089289   0.0471685632   3.9627847882   0.0445151022   3.9461468585   0.0458610275
5.0000000000   33392.2774759519   1696.8478009575   32380.7043284597   2797.6247701484   32886.4909022058   2313.6547726662   4.4277843433   0.0676964473   4.4907347145   0.0686439621   4.4592595289   0.0681718509
6.0000000000   36900.6094247119   1973.6313587465   36002.3550915649   3262.0838877843   36451.4822581384   2695.9610560216   4.8926344578   0.0880313026   4.9918544737   0.0979593057   4.9422444658   0.0931276968
7.0000000000   40255.8007888009   2240.3052921186   39512.3621455791   3756.0578088358   39884.0814671900   3092.4858985298   5.3371873140   0.1077179333   5.4771938059   0.1328886989   5.4071905599   0.1209598269
8.0000000000   43495.2583692274   2506.0376476580   42939.6418322626   4279.1556771296   43217.4501007450   3506.5223513183   5.7663781179   0.1276266179   5.9507881979   0.1729584521   5.8585831579   0.1519920718
9.0000000000   46627.6536920653   2786.3914712337   46293.8304753843   4822.1621668127   46460.7420837248   3938.0975987146   6.1813060528   0.1499044220   6.4140502406   0.2167127368   6.2976781467   0.1863273276
10.0000000000   49657.6008036043   3090.2655849347   49576.9452576162   5365.3329607833   49617.2730306102   4378.1582409444   6.5825567806   0.1759621063   6.8674098239   0.2614505142   6.7249833023   0.2228441543
11.0000000000   52585.2655210574   3412.8605692508   52785.3960266831   5890.6933218951   52685.3307738703   4813.9321286120   6.9701707204   0.2052505861   7.3105037808   0.3048213963   7.1403372506   0.2598498477
12.0000000000   55411.1407050902   3743.8118002229   55916.8597956498   6390.1935062178   55664.0002503700   5236.9217982703   7.3442463802   0.2362772684   7.7430717411   0.3457462240   7.5436590607   0.2961143351
13.0000000000   58142.7497086163   4082.2470548613   58969.1887615812   6866.1938412667   58555.9692350988   5648.4227392597   7.7057828097   0.2687746737   8.1647973704   0.3843924227   7.9352900901   0.3316604889
14.0000000000   60790.3393774121   4423.3591723789   61937.4103171309   7330.3553788201   61363.8748472715   6053.9332812505   8.0561564328   0.3020139648   8.5748965327   0.4220933429   8.3155264828   0.3669981097
15.0000000000   63359.0187040485   4761.6216463548   64821.2433446920   7798.4282436600   64090.1310243703   6460.9799479084   8.3960654318   0.3352458604   8.9732050586   0.4606756075   8.6846352452   0.4028720655
16.0000000000   65845.1296140831   5094.4753145790   67623.1342920263   8278.8148716570   66734.1319530547   6873.5891065012   8.7250348557   0.3681842504   9.3599962366   0.5011380521   9.0425155461   0.4397152428
17.0000000000   68243.8765332590   5433.9628178885   70344.3074215637   8767.0071660946   69294.0919774113   7293.4342581718   9.0423887687   0.4024827790   9.7354743224   0.5429143274   9.3889315455   0.4778851087
18.0000000000   70560.4474919092   5789.6174389720   72982.4819580530   9254.4784247451   71771.4647249811   7718.9714665790   9.3487868996   0.4394253288   10.0993888900   0.5850881680   9.7240878948   0.5174083416
19.0000000000   72805.1202965350   6161.0753472082   75531.6552669212   9735.3849243554   74168.3877817281   8146.6732185396   9.6455997400   0.4789674132   10.4509518736   0.6272256628   10.0482758068   0.5580420302
20.0000000000   74982.9607524940   6538.1838050251   77991.8913180073   10212.5352992158   76487.4260352507   8574.4890432614   9.9335345319   0.5197177255   10.7901530726   0.6698897093   10.3618438023   0.5995242851
21.0000000000   77092.4264483202   6909.8203662861   80373.6886014867   10692.4230010762   78733.0575249035   9002.0421885338   10.2124122849   0.5600132609   11.1184062338   0.7138852994   10.6654092593   0.6415789402
22.0000000000   79136.4913465190   7267.5473126716   82688.4555116349   11178.1616154073   80912.4734290770   9427.8454866975   10.4826375429   0.5984526295   11.4372763538   0.7594446484   10.9599569483   0.6837037823
23.0000000000   81119.0050706455   7612.5314114976   84939.6052536965   11666.2688723614   83029.3051621710   9850.1894370938   10.7447075566   0.6350661383   11.7472646558   0.8059928920   11.2459861062   0.7255802994
24.0000000000   83035.9364300777   7950.7830681825   87129.8886328025   12154.9890292399   85082.9125314401   10270.3142526954   10.9980699203   0.6707576122   12.0487667592   0.8531815105   11.5234183397   0.7674094292
25.0000000000   84876.2982114815   8286.3099927751   89269.3261399064   12649.3562906099   87072.8121756939   10692.7346329916   11.2412615572   0.7062699068   12.3431391779   0.9014759964   11.7922003676   0.8097765597
26.0000000000   86634.2615862967   8619.9478074904   91365.1174340817   13156.7605110540   88999.6895101892   11122.1366505966   11.4735120893   0.7418434180   12.6313284472   0.9517558021   12.0524202682   0.8532791934
27.0000000000   88311.1590349424   8955.0200929407   93408.3284564094   13682.3497615914   90859.7437456759   11562.8517214287   11.6949886044   0.7779382852   12.9120521661   1.0049080297   12.3035203852   0.8986178620
