# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
0.0000000000   8347.2118904201   484.1891733023   9817.0655233549   909.5212751831   9082.1387068875   728.5835935409   1.0000000000   0.0000000000   1.0000000000   0.0000000000   1.0000000000   0.0000000000
1.0000000000   16224.4187767813   971.1256016342   19126.3882131277   1815.7225672424   17675.4034949545   1456.0105383105   1.9435305681   0.0038412180   1.9479737985   0.0044076569   1.9457521833   0.0041341502
2.0000000000   23179.4937397233   1459.3062256895   27416.2847180295   2715.1184565700   25297.8892288764   2179.6149767268   2.7762937126   0.0146972752   2.7914913290   0.0176859509   2.7838925208   0.0162604237
3.0000000000   29281.2720285567   1944.1972929954   34731.0110191448   3602.4001221391   32006.1415238507   2894.5802592153   3.5065834355   0.0314304985   3.5351274772   0.0388530986   3.5208554563   0.0353372290
4.0000000000   34801.5848363381   2421.9139125105   41354.8691038804   4475.5925165123   38078.2269701093   3598.3743116491   4.1670725765   0.0516024402   4.2080427039   0.0649722485   4.1875576402   0.0586694337
5.0000000000   39996.3729253238   2888.0625808211   47569.7114562161   5341.3840104654   43783.0421907699   4293.6749188775   4.7885292222   0.0729800746   4.8390860307   0.0940286919   4.8138076264   0.0841649755
6.0000000000   45027.7764618301   3337.7037935342   53565.2448134226   6211.1228330353   49296.5106376264   4985.8957801194   5.3904604506   0.0941030111   5.4476280350   0.1253905577   5.4190442428   0.1108561425
7.0000000000   49978.4538730176   3770.4562338499   59441.3829239057   7085.6357120883   54709.9183984616   5675.4988175401   5.9828028948   0.1146267154   6.0439062717   0.1582736097   6.0133545832   0.1381843323
8.0000000000   54886.0557746774   4191.2611961876   65244.5190683322   7957.6937296515   60065.2874215048   6359.6996748904   6.5700546235   0.1349053368   6.6327252600   0.1915925436   6.6013899417   0.1656912077
9.0000000000   59773.3821869731   4604.7622249059   70995.2758567644   8824.3495259171   65384.3290218688   7038.2163828442   7.1549242239   0.1549777444   7.2162135198   0.2249052392   7.1855688718   0.1931326848
10.0000000000   64650.3671980705   5016.4100620926   76705.3092263179   9688.0926942887   70677.8382121942   7714.3862349572   7.7385665620   0.1749265944   7.7955422275   0.2583511731   7.7670543948   0.2206180433
11.0000000000   69507.5593033962   5436.4621713353   82382.4115533626   10550.2384910635   75944.9854283794   8392.3373728264   8.3197829964   0.1955973443   8.3715021665   0.2919623866   8.3456425815   0.2484958312
12.0000000000   74326.0073968326   5872.5651447426   88028.3223992371   11414.9001721737   81177.1648980349   9077.0856369194   8.8962555304   0.2179926072   8.9442481943   0.3261099655   8.9202518624   0.2773702276
13.0000000000   79091.6105976672   6322.1040804290   93644.8410452318   12291.6548591939   86368.2258214495   9773.7858371596   9.4663102699   0.2422181086   9.5139001203   0.3617281755   9.4901051951   0.3078285928
14.0000000000   83798.9963642660   6775.9540947510   99229.3667251268   13188.6038583415   91514.1815446964   10484.5797633103   10.0293610315   0.2677423323   10.0801320921   0.3996617681   10.0547465618   0.3401584083
15.0000000000   88447.2893597595   7230.7575963104   104780.6400844563   14108.9443330635   96613.9647221079   11210.4006531900   10.5853259311   0.2943707098   10.6427913717   0.4402456833   10.6140586514   0.3744798903
16.0000000000   93042.0544313781   7687.7336715053   110300.4926878881   15052.5437322733   101671.2735596331   11951.5756663294   11.1348619894   0.3219396667   11.2020679813   0.4834447343   11.1684649854   0.4107091186
17.0000000000   97593.1597229174   8143.0398210170   115785.7440576821   16016.3025599208   106689.4518902998   12704.9408738804   11.6791626323   0.3494295870   11.7576606834   0.5289670712   11.7184116579   0.4482784841
18.0000000000   102108.7236816560   8587.8990278701   121227.1034091633   16994.6706913607   111667.9135454097   13464.2274494433   12.2192386287   0.3753960862   12.3086567072   0.5763401356   12.2639476680   0.4863590101
19.0000000000   106593.0792487670   9018.4071063137   126618.6510432226   17981.0861542640   116605.8651459948   14224.1190592296   12.7556271683   0.3992757392   12.8544966009   0.6249578844   12.8050618846   0.5244013125
20.0000000000   111047.3556190092   9440.3733427784   131959.6414766264   18969.9012500219   121503.4985478178   14982.9536855492   13.2884336085   0.4217909013   13.3951456132   0.6742586426   13.3417896109   0.5623754447
21.0000000000   115470.1504152898   9862.6719071837   137249.5795275251   19956.9454722042   126359.8649714075   15740.9016534836   13.8174485623   0.4442184757   13.9305858130   0.7238280268   13.8740171876   0.6005235493
22.0000000000   119855.6790920933   10289.9819632802   142483.3568272265   20942.9653112922   131169.5179596599   16499.8715879036   14.3419615500   0.4674769866   14.4602914148   0.7737969371   14.4011264824   0.6392559866
23.0000000000   124197.7110509851   10719.6410088201   147662.0382518380   21927.1818383085   135929.8746514116   17258.5052470981   14.8612432536   0.4914771725   14.9843737226   0.8241013476   14.9228084881   0.6784883353
24.0000000000   128489.4345418008   11148.4974210753   152792.8683004679   22908.9835228676   140641.1514211344   18015.4172973976   15.3744852355   0.5156447921   15.5035743709   0.8746272205   15.4390298032   0.7179353475
25.0000000000   132729.5221356357   11576.6915818821   157886.2177573729   23889.7425952300   145307.8699465043   18771.5155121845   15.8815115105   0.5394577854   16.0189387137   0.9254145394   15.9502251121   0.7574320999
