,z,height H1,height H2
0,0,2.5896698303999997,3.2603481434
1,1,2.5985120393,3.2427778123
2,2,2.6009523365000002,3.2317135497000002
3,3,2.5928160766,3.2312660576999996
4,4,2.5755623297000003,3.2399213543000003
5,5,2.5550371223,3.2517874761000005
6,6,2.5375245184999997,3.2605402747999994
7,7,2.5273026112999997,3.2618635697000005
8,8,2.5260967149,3.2539918804999997
9,9,2.5331443954,3.2376436299000004
10,10,2.5452166848000006,3.2159998081
11,11,2.5568605605,3.1944647214
12,12,2.5619309512,3.1791376870000003
13,13,2.5570296179999996,3.1733809656
14,14,2.5441018214000004,3.1752268189
15,15,2.5287236083,3.1790903049
16,16,2.5164415947,3.1794247654
17,17,2.5108025154,3.1726874612000002
18,18,2.5130318020999995,3.1576589989
19,19,2.5221621131000003,3.1353131074999996
20,20,2.5351034662,3.1087480627999997
21,21,2.5469808513,3.0828500162
22,22,2.5526852035000003,3.0627467753
23,23,2.5498764429,3.050810989
24,24,2.5407389553,3.0449086891999997
25,25,2.5300436035000002,3.0403346676
26,26,2.522154299,3.0327986248
27,27,2.5196723388000004,3.0197750859
28,28,2.5233387209,3.0005982050999997
29,29,2.5322126792000006,2.9762828582999994
30,30,2.5438034025999996,2.9493912884
31,31,2.5544544016,2.9236504092000004
32,32,2.5606501339999994,2.902648728
33,33,2.5611681628999996,2.8876903224
34,34,2.5579119954000005,2.8769647352
35,35,2.5542089581999994,2.8672436071
36,36,2.5528191937999996,2.855862846
37,37,2.5552267496,2.8414266532
38,38,2.5617182678,2.8237275073000005
39,39,2.5715944959000003,2.8035343734000002
40,40,2.5833536526999996,2.7824087633999994
41,41,2.5950465830999994,2.7623497835999995
42,42,2.6050958055000004,2.7449769018000003
43,43,2.6132705119000006,2.7305601784
44,44,2.6206570555999997,2.7180515045
45,45,2.6285703100999998,2.7061686828
46,46,2.6377822948,2.6941608799
47,47,2.6484677583,2.6818605798999995
48,48,2.6604234610999997,2.6694649293
49,49,2.6732974318,2.657307885
50,50,2.6868181577000003,2.6456323638
51,51,2.7010514178,2.6343349394
52,52,2.7165187903000003,2.6228499898999997
53,53,2.7337823034,2.6105688885000005
54,54,2.7526731271,2.5976125403
55,55,2.7721540399999993,2.5849657125
56,56,2.7908842973,2.5739091387999995
57,57,2.8077576757000005,2.5654816371999996
58,58,2.8221887574999993,2.5601955981
59,59,2.8343109319,2.5578404659
60,60,2.8452002368000002,2.5572602084000007
61,61,2.8569637341,2.5562669053000002
62,62,2.872114744,2.5522692519
63,63,2.8918789807,2.5439716693999994
64,64,2.914904883,2.5326650801
65,65,2.9381014574999997,2.5213851624999997
66,66,2.9583822266000004,2.5131671618
67,67,2.9736718263000004,2.5100362925999997
68,68,2.9832103711999993,2.5127048166000003
69,69,2.9876943945,2.5204330425
70,70,2.9894653607999997,2.53084034
71,71,2.9924147970000003,2.5399993222
72,72,3.0006983806,2.5437232487
73,73,3.0160163431000004,2.5402889060000002
74,74,3.0360494559000006,2.5320015996
75,75,3.0562068753,2.5234439059000002
76,76,3.0722625812,2.5188346454
77,77,3.0816266882,2.5207552548
78,78,3.0835989871,2.5298956111999997
79,79,3.0794350964,2.5449875911999995
80,80,3.072470523,2.5154416871
81,81,3.0678110106,2.5249486826
82,82,3.0704728309,2.5270690205
83,83,3.0820380822999995,2.5202862193
84,84,3.0992964558000002,2.5078815313
85,85,3.1167920216,2.4953803784999997
86,86,3.1298468945,2.4875220665999995
87,87,3.1357914305,2.4870271795999996
88,88,3.1341084335,2.4944544548999996
89,89,3.1264412909,2.5081935444
90,90,3.1166626771,2.5243952705000003
91,91,3.1103790180999997,2.5374655846999996
92,92,3.1126836201000003,2.5423124087
93,93,3.1246162652000002,2.5378881698000004
94,94,3.1422608718,2.5280907949
95,95,3.1597874667,2.5187209303000007
96,96,3.1724733453000002,2.514461238
97,97,3.1777675241,2.5178123534
98,98,3.1753508212000003,2.5290352467000004
99,99,3.1671332145999997,2.5461548296
100,100,3.1572870032,2.5649282670000004
101,101,3.1515692810999996,2.5795268942
102,102,3.1547594102000005,2.5851060187000003
103,103,3.1671507789,2.5813191982
104,104,3.1842844956999996,2.5725865417000002
105,105,3.2003205362000005,2.5647209263999997
106,106,3.2108322577,2.5621281728000005
107,107,3.2136330257,2.5669761268
108,108,3.2087543742999998,2.5792147579
109,109,3.1984211418,2.5966010528000005
110,110,3.1870213416000004,2.6147307895000003
111,111,3.1802438455000006,2.6279044402
112,112,3.1823362543000004,2.6318731764999996
113,113,3.1929138656000005,2.6270310984
114,114,3.2073311816,2.6180424011000003
115,115,3.2200821657,2.6104384625999995
116,116,3.2272153379,2.6082001432
117,117,3.2269392819,2.6131509332
118,118,3.219567381,2.6250116904
119,119,3.2075066127000005,2.6414109689
120,120,3.1951863457000003,2.6579559366
121,121,3.147694243,2.6692453072999998
122,122,3.1452927192000004,2.6717017995999996
123,123,3.1509186496,2.6663712285
124,124,3.1598743616000005,2.6580022475
125,125,3.1670694726,2.6517316335000003
